news,2:38 PM - 29 Nov 2007,FOX13Memphis,http://www.FOX13Memphis.com,106097,3959,"Memphis, TN","35.14902,-90.0516199","http://FOX13Memphis.com  is the website for FOX13 News WHBQ-TV in Memphis, Tennessee."
news,3:32 PM - 19 Sep 2007,thenewstribune,http://www.thenewstribune.com,69680,432,"Tacoma, WA","47.24957,-122.4398699","The leading online news and information source for Tacoma, Washington and the South Puget Sound."
news,9:38 PM - 2 Mar 2014,southfronteng,http://southfront.org/,10390,280,info@southfront.org,,"News, politics and analysis for those who like to think outside the box."
news,11:21 AM - 20 May 2016,iraqi_day,http://iraqidayblog.wordpress.com,10636,63,Iraq,"33.09557,44.17497",Viral and Trending Iraq news . Focused on Iraqi Affairs . اخبار العراق My loyalty belongs to #Iraq only and not the political game.
wx,11:49 AM - 7 Dec 2007,WMCActionNews5,http://www.wmcactionnews5.com,157938,2791,"Memphis, TN","35.14902,-90.0516199","Tweets from the newsroom of Action News 5, featuring Memphis/Mid-South breaking news, traffic, and weather."
fire/emt,6:02 AM - 21 Jun 2011,QldAmbulance,http://www.ambulance.qld.gov.au/,15656,1108,"Queensland, Australia","-21.9182799,144.45888",Official account of the Queensland Ambulance Service. Do not use this account to request emergency assistance. In an emergency call TRIPLE ZERO (000).
wx,9:53 AM - 30 May 2012,NWSNewOrleans,http://www.weather.gov/neworleans,17225,220,"New Orleans, Louisiana","29.94993,-90.0701099",Official Twitter account for the National Weather Service New Orleans. Details: http://weather.gov/twitter
news,9:08 AM - 30 May 2008,KCStar,http://www.kansascity.com,210395,833,"Kansas City, Mo.","39.08446,-94.5630199",Breaking the news in Kansas City since 1880.
news,9:19 AM - 6 Dec 2012,kit4combat,http://kit4combat.uk,330,335,"England, United Kingdom","52.795475,-0.540240094230767","Combat Supplies, News & Reviews"
news,3:15 AM - 26 Jan 2011,Rojname_com,http://www.Rojname.com/,19451,1138,"Kurdistan, Europe",,Kurdish News Search Engine. News from #Kurdistan in 11+ languages. Providing news from #Kurdish sources for 15 years. #TwitterKurds! See other #Rojname accounts
news,1:58 AM - 11 Feb 2011,NewsChannel8,http://www.news8.net,13897,198,"Washington, D.C.","36.29885,-82.3591834","The D.C. metro area's only 24-hour cable news channel, devoted to the latest in the District, Maryland and Virginia."
journalist,6:59 AM - 20 Apr 2009,cjwerleman,https://www.patreon.com/cjwerleman,44740,1767,USA,"39.78373,-100.4458799",Columnist for Middle East Eye. Host of 'Resistance Radio' on iTunes. Author of The New Atheist Threat. http://www.middleeasteye.net/users/cj-werleman …
police/traffic,10:38 AM - 8 Feb 2013,2xTessy,,188600,143865,EMAIL:awesomekelly70@gmail.com,,"SOCIAL MEDIA PROMOTER For Good Website Traffic, Hype, TweetFeed, Music, Brands, Trends and Media Marketing. CALL : 08096514041. EMAIL:awesomekelly70@gmail.com"
police/traffic,7:59 PM - 23 May 2014,PoliceWorldNews,,365,2,,,"Police news, created by @KrtNthny"
journalist,2:13 PM - 12 Dec 2011,Daudoo,,88321,330,Mogadishu - Somalia,"2.04277,45.33856",I am a Freelance Journalist in Mogadishu covering events as they break - with a special focus on Al-Shabaab and global conflict updates
news,10:03 AM - 17 Nov 2011,scroll_in,http://scroll.in,130067,68,,,News. Politics. Culture.
govt,10:46 PM - 15 Jul 2008,CatoInstitute,http://www.cato.org/,312939,8267,"Washington, DC","38.89495,-77.0366399","A public policy research organization dedicated to individual liberty, limited government, free markets, and peace."
news,5:43 PM - 10 Feb 2014,GgNewsCA,http://www.news.google.com,794,120,,,"Breaking news, updates and tips from Google News."
news,2:46 AM - 1 Mar 2011,ideas4thefuture,,5881,2814,Clackmannan in Scotland,"56.10735,-3.7521299",submit any ideas for the future. We need new ideas for the future if we are going to have a future + TODAYS LATEST RELEVANT NEWS #IFF
news,3:25 AM - 9 Mar 2014,The_NewArab,http://newarab.co.uk,37714,191,London,"51.50732,-0.1276399",News website bringing you the latest from the Middle East (Formerly Al-Araby Al-Jadeed English)
news,7:12 PM - 1 Feb 2010,thaitvnews,https://www.youtube.com/thaitvnewstube,34589,21981,,,Latest Thailand & World News - ข่าวล่าสุด
news,10:54 AM - 3 Aug 2014,DaysofPalestine,http://www.daysofpalestine.com,6684,3,London,"51.50732,-0.1276399",Focused on Palestine News
news,5:43 AM - 2 Apr 2013,i24NEWS_EN,http://www.i24news.tv/en/,21194,209,Jaffa Port,"32.05398,34.75027",See Beyond. Unfiltered. Unbiased. Global news from where it happens. Watch Live: http://i24news.tv/en/tv/live  OR http://youtube.com/i24NEWS
news,10:24 PM - 9 Feb 2014,GgNewsAU,http://www.news.google.com,372,133,,,"Breaking news, updates and tips from Google News."
news,8:19 AM - 16 Sep 2008,WSJPolitics,http://wsj.com/capitaljournal,124827,237,"Washington, D.C.","36.29885,-82.3591834","The Wall Street Journal’s home for politics, policy and national security news. SIGN UP: Capital Journal Daybreak, to your inbox http://on.wsj.com/CapitalJournalSignup …"
journalist,1:23 PM - 13 Nov 2008,MitchellMcCoy,http://facebook.com/mitchellmccoyonline,8733,829,"Little Rock, AR","34.74648,-92.2895899",Emmy-winning Reporter // @KARK4News @FOX16News mitchellmccoy mitchellmccoy
journalist,2:40 PM - 28 Mar 2007,doctorow,http://craphound.com,430472,1472,Beautiful Downtown Burbank,,"Writer, blogger, activist. If you want a reply, use email. Blog suggestions here: http://boingboing.net/s  0BC4 700A 06E2 072D 3A77 F8E2 9026 DBBE 1FC2 37AF"
news,2:06 AM - 29 Jul 2013,kayodebuky,,1552,1454,Nigeria,"9.60003,7.99997",News served hot.
news,2:22 AM - 18 Mar 2009,France24_en,http://www.france24.com/en/,172990,1185,"Paris, France","48.85661,2.35149","The French international news channel broadcasting live 24/7 from Paris. Follow us for breaking news and top stories on #business, #politics and #sports."
news,4:33 AM - 14 Aug 2011,RepublicaNepal,http://www.myrepublica.com,215244,75,"Kathmandu, Nepal","27.70879,85.32024",Official twitter feed for http://www.myrepublica.com  - English news portal of Nepal Republic Media (Pvt.) Ltd. a leading media house.
news,7:57 AM - 12 Feb 2009,BelTel,http://www.belfasttelegraph.co.uk,140269,15699,"Belfast, Northern Ireland","54.59698,-5.9300899","Northern Ireland news, sport, debate, competitions and more."
news,11:02 AM - 18 Mar 2007,orlandosentinel,http://www.orlandosentinel.com,251999,614,"Orlando, FL","28.54211,-81.3790399",The Orlando Sentinel is the most comprehensive news source of the Central Florida region.
journalist,1:11 PM - 26 Jan 2011,TammyPetersen87,http://www.news24.com,2514,798,"Cape Town, South Africa","-33.9288999,18.41724","Journalist at News24. Struggling baker. Sniffer of new books. Lover of Raymond Reddington. RT not an endorsement. My account, my views."
wx,9:16 AM - 15 Aug 2008,NBCNewYork,http://www.NBCNewYork.com,266938,1945,"New York, NY","40.73059,-73.9865799",Get breaking news and Storm Team 4 weather updates. Plus stories from New York's biggest investigative unit. News tip or question? tips@nbcnewyork.com
disaster/accident,1:24 AM - 17 Oct 2015,QalaatAlMudiq,,19297,244,,,Dr. in History. Military Analysis focused on Syria. Fact Checking & Geolocations. ATGM/TOW tracker. Backup: @QalaatAlMudiq2
wx,11:19 AM - 14 Jun 2007,fox4kc,http://www.fox4kc.com/livestream,160457,483,"Kansas City, Mo.","39.08446,-94.5630199","News, weather and interesting stories from Kansas City's FOX 4 News, Working for You! List of FOX 4 Tweeters: http://fox4kc.com/twitter/  #fox4kc"
news,4:06 AM - 14 Mar 2017,WorldConserv,,71896,474,"Victoria, Australia","-36.5985999,144.678","#Global #media platform promoting #conservative #politics, values, ideals for better #society. Support @GOP @AuConservatives @Conservatives #auspol #USPolitics"
news,4:52 AM - 26 Sep 2011,DailyMail,http://www.dailymail.com,134332,1858,New York,"40.73059,-73.9865799",Latest news from the US Daily Mail team. We're on Facebook too: http://fb.me/DailyMail
news,7:51 AM - 16 Apr 2008,rtv6,http://www.theindychannel.com,90542,1412,"Indianapolis, IN, USA","39.76833,-86.1583499","News, information & entertainment from RTV6 - Central Indiana's ABC affiliate. Questions? Comments? Replies, RTs and links ≠ endorsements."
news,4:58 AM - 27 Aug 2009,daily_trust,http://dailytrust.com.ng,440220,511,"Abuja, Nigeria","9.06433,7.48929",Our Vision: To be a world class media company that earns public trust. Our mission: To disseminate credible information for the good of all stakeholders
disaster/accident,2:29 PM - 5 May 2009,environmentguru,http://www.environmentguru.com,5773,3847,"San Francisco, Ca","37.77928,-122.4192299","Intelligence tools to find #water, #energy, #air, #greenbuilding, #toxic, #sustainability, #waste, #naturalresources including #news, #jobs, #events, and #bids"
news,11:39 PM - 7 Apr 2010,vishalfast007,http://goo.gl/s47OMH,5823,5354,,,"Digital Marketing Specialist, Search Engine Optimizer, Social Media Strategist, Fan page Specialist, Web Developer, Music Lover"
news,9:53 PM - 20 Nov 2007,mercnews,http://www.mercurynews.com,186153,1564,"Silicon Valley, CA",,Latest Silicon Valley and San Francisco Bay Area news from reporters & columnists at The Mercury News.
wx,5:19 AM - 20 Jun 2011,NWStulsa,http://www.weather.gov/tsa,22149,126,"Tulsa, Oklahoma","36.15568,-95.9929099","Official Twitter account for the National Weather Service Tulsa, Oklahoma. Details: http://weather.gov/twitter"
news,4:41 PM - 11 Sep 2010,AtlantaNewsFeed,http://breakingatlantanews.com/,5475,910,"Atlanta, GA","33.74909,-84.3901799",Atlanta News on Twitter
news,8:16 AM - 9 Nov 2016,KomNewsCom,http://komnews.com/,3827,500,Germany,"51.08341,10.42344","Kom News reports and sheds light on the important and also lesser-heard stories, events, developments unfolding in and connected to the Middle East and beyond."
news,8:30 AM - 11 Oct 2014,CanadaToday24h,https://www.facebook.com/pages/News-Canada/1448573928753409,302,39,,,Canada News 24h
news,4:31 AM - 8 Nov 2012,Ruptly,https://www.youtube.com/user/RuptlyTV,44628,574,"Berlin, Germany","52.51703,13.38885",International video news agency. Part of the RT global news network. http://www.Ruptly.tv
news,3:43 PM - 23 Oct 2012,Uskeus,,5567,184,World,,News Every Day | Noticias Todos Os Dias | Noticias Todos Los Días
fire/emt,11:19 PM - 5 Mar 2009,nswpolice,http://www.police.nsw.gov.au,141298,775,"Sydney, Australia","-33.8548099,151.21645","The Official Twitter account of the NSW Police Force. Please do not report crime here. For emergencies, contact 000 or 131 444 for non urgent matters."
