news,2:59 AM - 26 Nov 2009,CapitalFMKenya,http://www.capitalfm.co.ke,967429,229,"Nairobi, Kenya","-1.2832499,36.81724",The best mix of music/ news/ sports/ lifestyle.
news,11:27 AM - 28 May 2009,BigTimmz,https://www.linkedin.com/in/tembahove,2465,1596,Africa & Over there......,"2,15.99999",Television & Radio Broadcaster
news,8:31 PM - 11 Aug 2012,breakingnews70,http://www.facebook.com/happyfunnyinspirational,578,166,,,REAL TIME TRENDS AND BREAKING NEWS UPDATES RIGHT AT THE TIME OF THE INCIDENT
police/traffic,7:54 AM - 29 Jan 2009,CHeflinScott,https://ChristianPolice.org.uk,12293,11394,"London, UK","51.50732,-0.1276399","Police Inspector, Trustee of @ChristianPolice. Fellow of @theRSAorg"
news,7:51 AM - 17 Aug 2009,hksteen,http://RaulMarroquin.wordpress.com,345,249,Amsterdam,"52.374535,4.89796953658537",Multiplatform Communications: cable stream mobile Social Media - http://DeHoeksteen.Live.nu
news,7:14 AM - 16 Feb 2009,bbcmerseyside,http://www.bbc.co.uk/liverpool,46175,1761,"Merseyside, United Kingdom","53.49536,-2.97393690000001","The latest news, sport and all things scouse from BBC Radio Merseyside...@BBC"
journalist,3:42 AM - 14 Jun 2012,ThisOngoingWar,http://thisongoingwar.blogspot.com,2589,1901,Jerusalem,"31.77911,35.22662","Frimet and Arnold Roth write here in memory of their murdered daughter, Malki, focusing on terrorism from the standpoint of the people to whom it's done."
journalist,2:16 AM - 29 Jan 2011,AMDWaters,http://www.annemariewaters.org,37500,1806,England,"52.795475,-0.540240094230767",Director of Sharia Watch UK http://www.shariawatch.org.uk  http://www.breitbart.com/author/anne-marie-waters-2/ … https://www.youtube.com/c/amwatersmedia  Views my own.
fire/emt,3:43 AM - 25 Feb 2009,gmpolice,http://www.gmp.police.uk/,532758,593,Greater Manchester,"53.50652,-2.33743475185185",Greater Manchester Police's feed is monitored Mon-Fri but is not for reporting crimes. Emergency: call 999. Non-Emergency: call 101.
wx,9:53 AM - 22 Feb 2010,globalnews,http://globalnews.ca,247557,2069,,,Breaking Canadian news with a fresh perspective on local & international headlines. SkyTracker Weather app: http://glbn.ca/RWjZm  * On @snapchat: globalnews1
journalist,1:20 PM - 16 May 2012,RepublicanChick,http://borderlandalternativemedia.com/author/ximena/,35681,2589,Ask the CIA,,Naturalized citizen Conservative Constitution #1A #2A American by Colombian By Birth #Extortion17 #Benghazi #NonPc Writer at Borderland Alternative Media.
journalist,8:55 PM - 12 May 2009,jennineak,,4304,985,Brisbane / Sydney / Palestine,,Journalist at national broadsheet. Views strictly mine etc. DMs open.
disaster/accident,12:31 PM - 2 Aug 2011,brynstole,https://www.theadvocate.com/users/profile/bryn%20stole/,5266,840,"Baton Rouge, LA","30.45074,-91.1545499",Crime & punishment @theAdvocatebr // ex-@gwcommonwealth. A coffee-stained kvetch. Tips & quips: bstole@theadvocate.com
journalist,9:50 AM - 1 Jan 2011,dbongino,http://www.bongino.com,98703,1084,"Florida, USA","27.75676,-81.4639799",Renegade Republican. 2X NYT Bestseller. Former Secret Service Agent & NYPD. Contributing Editor Conservative Review. Podcast here: http://bit.ly/bpodcast
news,6:53 PM - 27 Nov 2016,Thailand_Inf,,15,111,,,Thailand News Update
wx,11:39 PM - 16 Jun 2011,SimpleWeatherSC,http://www.simpleweatheralert.com,127,90,South Carolina,"33.68743,-80.4363699",Provide a valuable service. Attract Twitter followers. Add real-time weather alerts to your social media. See our home page for details. South Carolina
journalist,10:13 AM - 12 Dec 2008,rontimes,http://tampabay.com,2760,2183,"Tampa-St. Petersburg, FL",,"DME/Editing & Presentation & http://tampabay.com , @TB_Times. Love Politics, News, History, Science. @UofSC Gamecocks. Foodie/love to cook. Views are my own."
news,8:11 AM - 1 Apr 2009,12NewsNow,http://12newsnow.com,28519,2515,"Beaumont, TX","30.08604,-94.1018399",We are the local news leader in Southeast Texas. See news happening? Call us at (409) 838-1212 or email us at 12News@12NewsNow.com 12News: Expect More.
