wx,3:14 PM - 21 May 2015,EfrenWLTX,http://www.wltx.com/story/about-us/2015/05/28/efren-afante/28120051/,1903,1399,"Columbia, SC","34.00074,-81.0343299","@WLTX Broadcast Meteorologist, WRN Ambassador, #OUSooner grad, Native NY'er, major #coffee drinker, hockey nut, pure #meteorology nerd. Opinions/RT are my own."
news,11:42 AM - 3 Aug 2016,JawairiaJamshed,https://www.youtube.com/channel/UCk99_swtvj4RakeHLfAEsaA,12563,13757,Pakistan,"30.33084,71.24749",Social Media Activist||Philanthropist||Member #LionsClub||Photographer|| Striving for Positive image of Pakistan ||Motivational Speaker||Chinese Interpreter
disaster/accident,11:53 AM - 31 May 2012,WarOveTerrorism,,4435,3667,,,"Highlight news on the Global War Over Terrorism. Including the theaters of Afghanistan, Iraq, Indonesia, Pakistan, Philippines, and Somalia"
fire/emt,10:04 AM - 27 Jul 2010,AlexandriaVAPD,http://alexandriava.gov/Police,50478,567,"Alexandria, Virginia","38.8051,-77.0470199","Official APD Tweets-- Not monitored 24/7. Emergency? Call 9-1-1. Need to report a crime, vehicle crash, traffic light or parking issue? Call 703.746.4444."
police/traffic,2:16 PM - 27 Mar 2009,OfficerCom,http://www.officer.com,30722,2712,World,,The police source. Leading news and information source for the #police #sheriff #criminaljustice #officer
disaster/accident,2:45 AM - 13 Feb 2013,MossadNews,https://www.facebook.com/UnofficialMossad/,15699,240,Tel Aviv,"32.08048,34.78052","Unofficial news feed (not by the ministry) about wars,intelligence,cyber activities, terrorism and the Israeli secret service. http://pastebin.com/9GMXmjpd"
news,8:25 AM - 8 Apr 2010,vola_news,http://www.voiceofgreaterassam.com,498,111,"Assam, India","26.40738,93.25513",The official Twitter account of Voice of Greater Assam (Award Winning Digital News Media of Assam)
journalist,11:18 AM - 4 Dec 2011,em_bernadin,http://anfenglish.com,6927,550,,,Views and reports are of my people. ANF English
news,3:12 AM - 29 May 2009,CourtNewsUK,http://www.courtnewsuk.co.uk,67786,154,London,"51.50732,-0.1276399","News reports from the Old Bailey, London's Crown Courts and UK disciplinary hearings"
police/traffic,9:20 AM - 2 Mar 2013,JooHyun_Kang,,2728,1006,,,"Organizer, acupuncturist, queerly. Director of @ChangetheNYPD (Communities United for Police Reform/CPR) & CPR Action Fund. RTs not endorsements."
journalist,6:36 AM - 29 Oct 2010,DannyShawBBC,http://news.bbc.co.uk,37676,337,,,Home Affairs Correspondent for BBC News
journalist,11:44 PM - 27 Apr 2010,Matiullahjan919,http://waqtnews.tv/host/mattiullah-jan,102737,724,Pakistan,"30.33084,71.24749","Journalist, Court correspondent, show-host ""Apna Apna Gareban"", columnist Nawaiwaqt. RTs not endorsements. http://www.linkedin.com/pub/matiullah-jan/7/181/463 …"
fire/emt,8:09 AM - 25 Jun 2009,NorthantsPolice,http://www.northants.police.uk,75642,683,"Northamptonshire, UK","52.25,-0.8333299",Do not use Twitter to report emergencies/incidents. Call 101 or use our online forms for non-emergencies and enquiries - use 999 in an emergency only.
journalist,5:58 PM - 19 Mar 2010,MissiNewsRoom,http://www.mississauga.com,19647,1003,"Mississauga, Ontario, CANADA","43.58928,-79.6441599","Local news, views and stuff that matters to you. See what's happening in your neighbourhood. Write: 3145 Wolfedale Rd. Mississauga, L5C 3A9. Call: 905-273-8111."
wx,11:09 PM - 10 May 2012,TexasStormAlert,,4101,0,,,Severe weather alerts for all counties in Texas - Provided by http://www.TexasStormChasers.com  - Find them on Twitter @TxStormChasers
journalist,1:48 AM - 16 Mar 2009,SinghNavdeep,http://www.indianmilitary.info,25195,118,"Chandigarh, India","30.73515,76.7704991065831","HC Lawyer, Author, Former Military Reservist, Former President AFT Bar Assn, Music Lover, Religion Respecting Atheist, Rationalist, Neutral, Dichotomous :)"
news,11:57 PM - 4 Jul 2015,joepalojoe,,17223,17298,New York and Toronto.,"41.630285,-74.8585029242891","Retired lawyer, MBA and entrepreneur. Conservative. Politics and news junkie. For God, country and the constitution. Non sibi sed Deus et patriae."
journalist,3:29 PM - 30 Dec 2010,faisalalmutar,http://www.faisalalmutar.com,23604,2795,Writer-Humanist-Computer Geek,,The Supreme leader of the Secular caliphate of Iraq and Syria. I establish caliphates and write about things. ------- Booking: faisalalmutar91@gmail.com
fire/emt,1:55 PM - 12 Jun 2011,JohnEdwards33,,21933,19845,Wednesbury UK,"52.55218,-2.0224399","Chair of West Midlands Fire & Rescue Authority, former firefighter, Sandwell Labour Councillor for 39-years. Allergic to bigots. Socialist. Speaking personally."
news,2:44 AM - 3 Aug 2011,DContented,,4447,428,Worldwide,,Curator of legit social media content #NotFakeNews
wx,3:29 PM - 2 Feb 2009,EElwellWHIO,http://www.whio.com,4576,1777,"Dayton, OH","39.75894,-84.1915999",Chief Meteorologist @WHIOTV & Radio | Emmy Award Winning | @nwas @ametsoc certified | #MiamiValley #OHwx #INwx storm tracking | eric.elwell@coxinc.com | KD4BNT
wx,7:50 AM - 10 Feb 2009,wfaaweathertoo,http://www.wfaa.com/weather,71703,363,"Dallas, TX","32.77627,-96.7968499",Reports from News 8's Weather team
news,1:34 AM - 20 Apr 2014,AFF_PATRIOTS,http://facebook.com/nationindistress,5555,857,usa,"39.78373,-100.4458799",We are dedicated to exposing the mainstream media corruption. We were one of the first online publications to endorse Donald J. Trump for POTUS.
news,12:02 AM - 29 Jan 2016,hashguwahati,http://edufive.com/services,543,352,"Guwahati, Assam","26.18059,91.75394",Finding latest news about #Guwahati and RT them.What's happening in #Guwahati ? Part of the #NetworK (@hashNetworK) & Managed by @edufive.com team . #FF
journalist,2:04 PM - 28 Apr 2009,mhammond7,http://wintv.com.au,7959,8614,"Canberra, ACT","-35.2819299,149.12889",Senior Journalist @WINNews_ACT
