news,5:47 AM - 5 Oct 2010,AdvocateDaily,http://advocatedaily.com/,2155,1307,"Toronto, Ontario, Canada","43.65292,-79.3848999",The PR firm that features legal professionals as news sources. Media releases and contact to the sources are posted to http://AdvocateDaily.com
wx,6:54 PM - 10 Jun 2008,WCCBCharlotte,http://www.wccbcharlotte.com/,74132,1318,"Charlotte, NC","35.22708,-80.8431199","WCCB, Charlotte's CW is your source for news, sports, weather & entertainment. *If you mention us you consent to WCCB using your content."
journalist,8:03 AM - 18 Nov 2011,CBCMeaghanK,http://www.cbc.ca/manitoba,2662,1271,"Winnipeg, MB","49.88333,-97.1666699","Reporter with CBC Winnipeg, chasing breaking news early in the AM."
journalist,10:02 AM - 29 May 2012,marikaCBC,http://www.cbc.ca/montreal,976,597,"Quebec, QC","46.82573,-71.2349099",CBC Quebec's Travelling Journalist based in Quebec City. RT's are not endorsements.
journalist,6:32 AM - 12 Aug 2010,SteveDeaceShow,http://www.stevedeace.com,42350,317,On the right side of history.,,"CRTV host and Conservative Review columnist. Author of A Nefarious Plot, the best book you've probably never read."
police/traffic,5:17 AM - 17 Mar 2014,uksocialtraffic,,1321,393,United Kingdom,"54.70235,-3.2765699",Retweeting your twitter traffic updates from the UK motorways. UK Social Traffic cannot verify the accuracy of tweets. Use at your own risk.
police/traffic,5:08 AM - 30 Apr 2009,423JCPD,http://jcpd.blogspot.com/,4716,123,"Johnson city, Tennessee 37601","36.31343,-82.3534699",Communicate with the Johnson City Tennessee POLICE Department. Real-Time News releases and Live Traffic Crashes posted here.
fire/emt,12:47 PM - 6 Feb 2014,LakelandFD,http://www.lakelandgov.net/lfd,2238,142,"Lakeland, FL","28.03946,-81.9497999","The Lakeland Fire Department is made up of 7 stations serving 100,000 + people in its 84 square mile service area. Emergency? Dial 9-1-1"
wx,2:29 PM - 22 Sep 2012,JournAB,,317,204,"Portland, Maine","43.66102,-70.2548499","Mom, News Director @WMTWTV Maine's Total Weather & News, @EmersonCollege alum Links & retweets are not endorsements, opinions are my own."
wx,8:36 AM - 26 Dec 2011,MelanieHunterTV,http://facebook.com/MelanieHunterTV,2492,1344,"Tucson, AZ","32.22174,-110.9264699","Tucson Traffic, Weather, and News Anchor. Mississippi State Meteorology Student. Special Olympics Volunteer. Junior League of Tucson. UofA Alum."
disaster/accident,2:14 AM - 31 Jan 2016,GlennFranco68,,6735,5862,,,News Government & Politics#pro military#God fearing #pro YISRAEL #'We The People'American#President Trump supporter #country music k-frog #Steelers fan
news,6:15 PM - 17 Jan 2012,WKNYRadio,http://www.1490wkny.com,136,53,"Kingston, NY","41.92878,-74.0023699",1490 AM The Kingston Station
disaster/accident,2:16 PM - 21 May 2014,SpeakNoEvilDC,,572,481,,,Probation&Parole Officer. Criminologist. Union Activist. Opinions expressed are my own (not my employers). Often sarcastic/unfiltered. RT may not mean agreement
news,9:02 PM - 12 Jun 2014,ElonMuskNewsOrg,http://elonmusknews.org/,36131,21978,,,This Twitter feed features quotes & news from Elon Musk. Get our curated newsletter at http://elonmusknews.org/ .
news,6:49 AM - 23 Jan 2013,CBCKW891,,29358,950,,,CBC Radio and Digital Service for Kitchener-Waterloo.
police/traffic,3:37 PM - 6 Nov 2012,TotalTrafficGRR,http://totaltraffic.com/LocalTraffic/Grand%20Rapids/,491,12,"Grand Rapids, MI","42.96324,-85.6678599","Grand Rapids Traffic, powered by Total Traffic Network."
news,1:19 PM - 23 Jul 2009,lanewsnow,,11904,311,"Los Angeles, California","34.05439,-118.2439399",Los Angeles News Now 9000 Sunset Blvd #LosAngeles California 90069 #cityofangels #hollywood #lalaland #hellay @lanow #lanews #LA
news,4:02 AM - 11 Mar 2017,Brexitnews1,http://www.brexit-news.de,143,470,"London, England","51.50732,-0.1276399","News about Brexit, UK, EU and the World"
news,8:57 AM - 24 Oct 2008,WGNOtv,http://www.wgno.com,30803,611,"New Orleans, LA","29.94993,-90.0701099",This is the official Twitter account for WGNO News (ABC26) in New Orleans. Tag photos and videos #WGNO for permission to share on air and online.
fire/emt,11:17 AM - 16 Sep 2014,lexkypolice,http://www.lexingtonky.gov/police,8001,128,"Lexington, Kentucky","38.0464,-84.4970299","Official Twitter of the Lexington, Ky Police Department. In an emergency, call 9-1-1."
news,1:57 AM - 8 Sep 2008,timescolonist,http://www.timescolonist.com,65552,591,"Victoria, B.C., Canada",,News and information from Vancouver Island
fire/emt,9:37 AM - 29 Dec 2012,HillsFireRescue,http://HCFLGov.net/Fire,8715,169,"Hillsborough County, Fl","27.91845,-82.3487999","This is the official Twitter feed for Hillsborough County Fire Rescue. Call 911 for all emergencies, 813-272-5665 for non-emergency."
journalist,2:01 AM - 9 Apr 2011,AsaadHannaa,http://www.al-monitor.com/pulse/ru/contents/authors/asaad-hanna.html,9002,295,"Istanbul, Turkey","41.00963,28.96516","Former Political officer at FSA. freelance journalist @Almonitor Global Voices @GVinArabic Human rights defender , @GulfCentre4HR Instagram: @asaadhanna"
police/traffic,1:11 AM - 27 Jan 2012,i_trafficKZN,https://www.i-traffic.co.za/,129265,11,Pietermaritzburg,"-29.5999999,30.37888",Realtime CCTV traffic monitoring and reporting on National roads in eThekwini and parts of Msunduzi
news,9:06 PM - 6 Feb 2009,georgebkk,http://thaivisa.com,26249,361,Thailand,"14.89719,100.83273","Latest news, info and other bits from the most visited English language website in Thailand"
