news,7:56 AM - 17 Apr 2011,AllRealNews,https://fictionews.com,231,225,Worldwide,,#BreakingNews The top news stories from around the world designed for quick easy reading and fast page loading with limited ads and NO POPUPS EVER!
fire/emt,9:44 AM - 22 Jul 2010,CALFIRERRU,http://www.rvcfire.org,18931,365,Riverside County California,"33.72199,-116.0372399",Official Incident and Safety Message Site for CAL FIRE and Riverside County Fire Department.
news,10:50 AM - 20 Jun 2015,nascar_news1,,2122,1869,,,Daily News and Updates on NASCAR curated via OOYUZ a News search and analysis Application.#NASCAR #racing #carracing
news,7:45 AM - 14 Oct 2008,willdrusk,http://AccuWeather.com,375,659,"Park Forest Village, PA","40.80431,-77.9118399","My PERSONAL tweets. A programmer at @AccuWeather. Webmaster, Social Media, PSU sports fan (softball, w soccer, m ice hockey,...)"
wx,12:10 AM - 29 Oct 2008,JuanitaNg,http://www.JuanitaNg.com,3991,545,"Vancouver, B.C.",,"Social media editor @VancouverSun, mom, fair weather runner, ebook hoarder. I'm probably planning my next trip right now."
fire/emt,9:13 PM - 2 May 2011,TasmaniaPolice,http://www.police.tas.gov.au,10119,22,Tasmania,"-42.0350599,146.63668","Official Twitter account for Tasmania Police. Do not report crime here, call 131 444 for non-emergencies or 000 for life threatening emergencies."
news,12:36 PM - 7 Sep 2008,PhillyLunaC,,416,65,Philly,"36.0684,-80.0088499","Gossip, Technology, & Philly News! All Philly Everything!"
fire/emt,9:38 AM - 3 Dec 2012,FresnoFire,https://www.instagram.com/fresnofiredepartment/,4452,149,"911 H. St. Fresno, Ca. 93721","36.74425,-119.8056399","Est. in 1877, FFD is one of the oldest fire departments in the U.S. We provide service to over 520,000 residents and cover 336 square miles."
journalist,9:45 PM - 6 Sep 2010,Robert4787,http://amazon.com/Penumbra-Database-Pearson-spymaster-Caribbean-ebook/dp/B06X1BQ65K/ref=sr_1_1?ie=UTF8&qid=,21611,20492,,,Adjunct Professor. Member Association Of Former Intelligence Officers (AFIO). Author of Corey Pearson-CIA Spymaster in the Caribbean/Florida Keys spy series:
journalist,3:22 PM - 27 Aug 2012,KeithHBurgess,http://woodsrunnersdiary.blogspot.com.au/,109,93,Armidale NSW Australia.,"-30.5133599,151.6666","Husband,Father,Grandfather,Uncle,writer,book author,Blog author,forum manager,18th century Living Historian,woodsman,primitive skills instructor,land owner."
news,9:33 PM - 16 May 2014,LastWave2014,https://www.facebook.com/TheAngryAmericans,5507,4198,USA,"39.78373,-100.4458799",If you arent questioning the Mainstream Media.. then you haven't been paying attention #Propaganda #Lies #Deceit #NWO Investigate the media #FollowTheMoney
journalist,7:50 AM - 12 Dec 2011,RobertBurnsTV,http://www.fox5sandiego.com,614,141,"San Diego, CA","32.71742,-117.1627699",Emmy nominated reporter Host of 'The Burns Report' on @Mighty1090 Graduated from @LynnUniversity
journalist,8:26 AM - 25 Mar 2013,Ibne_Sena,,6272,379,Sara Jahan Hamara,,"Writer, Traveller, Blogger. Proud Indian, Proud Kashmiri, Proud Muslim, Proud Humanist & Liberal - Never been member of any political party."
news,6:00 PM - 18 Jun 2015,Anarchyball,http://facebook.com/anarchyball,12479,10671,,,#Anarchyball http://Anarchyball.com  #SelfOwnership and #Anarchy. Instagram: @RealAnarchyball YouTube: https://www.youtube.com/channel/UCsY89OX0Kv6FQR77t56wqPA …
disaster/accident,7:42 AM - 5 Aug 2016,ChristianCowart,http://Instagram.com/ceezus_5,7459,7745,"Dallas, TX","32.77627,-96.7968499","Law Grad from Baylor Law School with Interests in Civil Liberties, Criminal Procedure, and Cybersecurity. Baylor Law Review. #ACLU Member. #BetoForTexas."
news,8:15 AM - 8 Nov 2013,LiveNews24x7,http://www.facebook.com/LiveNewz24X7,1947,28,India,"22.35111,78.66774",Bringing you live news update across news channels. Stay tuned.
news,7:49 AM - 22 Jan 2012,LivePulwama,,2921,326,Kashmir,"35.24449,58.46424",Live Coverage' And 24x7 Updates From Pulwama J&K
news,4:43 PM - 28 Jun 2011,Yahoo7,http://au.yahoo.com,10819,1279,Australia,"-24.7760999,134.755",#Yahoo7 is your site for the latest news & videos worth sharing.
police/traffic,10:09 PM - 16 Apr 2017,M25livetraffic,https://www.livemotorway.co.uk,61,0,"England, United Kingdom","52.795475,-0.540240094230767",Live traffic information for England's M25 motorway. Updated every 5 minutes.
news,2:10 AM - 13 May 2014,apnnewsindia,http://www.apnlive.com,9093,74,"A-009, SEC-68 , NOIDA",,"APN NEWS: खबर है तो दिखेगी… Follow us for breaking news from political, sports, business and entertainment arena. http://facebook.com/apnnewsindia"
news,12:34 AM - 26 Feb 2012,LailasBlog,http://www.lailasblog.com,11257,147,Nigeria,"9.60003,7.99997","http://LailasBlog.com  is known for Breaking the Most Controversial Celebrity, Entertaining News, Videos & Photos from Nigeria! CEO- @LailaIjeoma; Follow us"
fire/emt,10:17 AM - 7 Nov 2013,MasonCoSheriff,,4982,102,,,"The Official Mason County Sheriff's Office, Washington State, Twitter Page - NOT MONITORED 24 HOURS A DAY - Call 911 For Emergencies"
journalist,2:06 PM - 22 Jan 2017,atradpol,https://youtu.be/gj7J_8ZfyzE,1279,2343,,,Katie. Host of The New Radicals. Co-host of The Dead Red Patriots. Political commentator. News Reporter for@ Headlines Mag. Contributer for HNN
news,6:49 AM - 2 Apr 2015,Tuko_co_ke,https://www.tuko.co.ke/,45779,1179,"Nairobi, Kenya","-1.2832499,36.81724","We exist to deliver accurate, up-to-date, dependable news to millions of Kenyans in and outside of Kenya. Contacts: (+254) 715 738 048 Email: news@tuko.co.ke"
journalist,7:45 AM - 24 May 2008,AkiAnastasiou,http://www.702.co.za/presenters/20/aki-anastasiou,178557,932,"Johannesburg, South Africa","-26.2049999,28.04972",@EWNTraffic reporter @Radio702 & presenter of Technobyte. Host @TechBustersSA @CNBCAfrica Technology Speaker & MC #AllThingsTech #Disruption aki@702.co.za
news,11:33 PM - 17 Nov 2014,Taza_NewsPk,https://twitter.com/STD_Alerts,1259,4,,,Best News Service
journalist,2:03 AM - 2 Apr 2009,jessicadorsey,http://nl.linkedin.com/in/jessicadorsey,1224,1156,"Utrecht, The Netherlands","52.080945,5.1276779","Program Officer @PAXforpeace; Coordinator, European Forum on Armed Drones; Assoc. Fellow @ICCT_TheHague; Asst. Editor @OpinioJuris; CT, IHL, IHRL, @TRWNetwork"
news,7:56 AM - 7 Aug 2008,USATODAYmoney,http://www.usatoday.com/money,447651,1456,USA TODAY,"43.02695,-70.8927199","Latest news about financial markets, the economy, business, corporations, and personal finance, from USA TODAY."
journalist,7:33 AM - 10 Feb 2009,samthomson_,,1111,2145,"Newcastle Upon Tyne, England","54.97709,-1.6141999","West Country boy turned newsreader & Senior Broadcast Journalist for Capital, Heart & Smooth in the North East"
journalist,3:12 PM - 30 May 2013,PenofUmar,http://Patreon.com/UmarLee,8929,1601,St Louis,"38.62727,-90.1978799","The STL Stranger, the Prince of Provel, Writer, Podcaster, Father, Combat Sports, driver, soda and donut connoisseur. Probably at QT. #STLCards"
news,5:48 AM - 6 Mar 2016,RusNewspapers,http://the-newspapers.com,434,559,,,"Gathering and spreading news from various #Russian #Newspapers #news, #runews, #rusnews"
journalist,11:28 AM - 3 May 2015,RazdanNidhi,http://ndtv.com,26523,646,"New Delhi, Delhi","28.61389,77.21595","Journalist, Executive Editor at NDTV. Reports on foreign affairs, anchor of 'Left, Right and Centre', Mon to Thurs 8pm, 9 o clock news on Sun.Tweets personal"
news,6:33 PM - 31 May 2009,KontanNews,https://www.kontan.co.id,275618,413,"Jakarta, Indonesia","-6.1753899,106.82718","Media ekonomi Kompas Gramedia Group. Berita, data, dan panduan praktis. WA 085 95 91 000 95 | Email: promo@kontan.co.id - http://www.kontan.co.id"
news,4:50 PM - 27 Mar 2007,SBS,http://sbs.com.au,194505,6773,Australia,"-24.7760999,134.755","The best of SBS entertainment, sport, drama, news, documentaries & more. Celebrating the world's diverse stories."
journalist,4:36 AM - 27 Jul 2014,palestininianpr,,14054,14182,UK/US,"54.70235,-3.2765699",Freelance journalist/researcher. Antidote to Israeli propaganda. Passionate about politics. Addicted to TRUTH!. BSc. M.A. PhD. University of London
news,10:53 AM - 20 Jan 2017,trend_live,http://bit.ly/2jIjJ9q,40,24,"Los Angeles, CA","34.05439,-118.2439399",Youtube Channel's Trending News & Topics around the world.
news,1:15 AM - 9 Jun 2016,dw_politics,http://dw.com,4101,470,"Berlin, Deutschland","52.51703,13.38885","Official account of Deutsche Welle's political team based in Berlin. Political news, campaign stories and German politics | Instagram: @dw_politics"
disaster/accident,3:36 AM - 4 Aug 2015,CdaSolicitors,,60,81,Lincolnshire,"53.16666,-0.2499999",Specialist criminal law solicitors in Lincolnshire 01205 364777 #YourBestDefence
news,7:53 PM - 31 Jul 2008,dailyxtra,http://www.dailyxtra.com,15703,1109,Canada,"61.06669,-107.9916999",Xtra | Canada’s queer news source
journalist,4:05 PM - 22 Apr 2010,Newton_Samson,http://www.newtonsamson.wordpress.com,3072,2303,"Lagos, Nigeria","6.45505,3.39417","Lawyer, Property Consultant, Farmer, Poet, Author, Teacher, Gentleman and an Avid reader. rare package. handle with care"
police/traffic,5:54 AM - 6 Oct 2014,hydcitypolice,http://www.hyderabadpolice.gov.in/Default.htm,29152,164,Hyderabad,"17.36162,78.47473",The Hyderabad Police is here for you 24/7. We’re committed to making it quicker and easier for you to get the service you need from us.
govt,7:36 AM - 21 Sep 2012,UNIraq,http://www.uniraq.org,32413,481,Iraq,"33.09557,44.17497","United Nations Assistance Mission for Iraq, advising & supporting Govt of Iraq since 2003 on elections, human rights + more. RT & follow don't mean endorsement."
news,8:06 AM - 27 Jan 2014,IntheNow_tweet,http://inthenow.media/,52827,137,,,News served hot with a side of smile. Straight up and right now. Add inthenow_snaps for more!
news,6:39 PM - 19 Feb 2015,tubenewsen,http://www.tubenews.net/,849,0,,,Breaking World Video News. FB ⇒ https://fb.com/tubenews.net
fire/emt,2:00 AM - 21 Jan 2012,eu_echo,http://ec.europa.eu/echo,49308,3937,Brussels and Worldwide,"50.845795,4.355850625","We are the EU civil protection and humanitarian aid operations. Our mission is to help save lives in crises, emergencies and disasters."
news,4:46 AM - 24 Feb 2014,OklahomaUS_nws,http://www.newslocker.com/en-us/region/oklahoma/,1396,1296,,,Find your latest news about Oklahoma with just one click. Don't miss out on anything happening in your region!
news,8:57 PM - 14 Nov 2011,tempo_english,,63852,84,"Jakarta, Indonesia","-6.1753899,106.82718",Your Main Source For The Hottest News & Informations | http://en.tempo.co/  | https://www.facebook.com/tempoenglish
news,8:25 AM - 21 Jul 2011,Essex_Echo,http://www.echo-news.co.uk,23348,1030,South Essex,"42.62926,-70.7689299","The official twitter page for the Echo, the daily paper covering south Essex. News from Southend, Basildon and Castle Point."
journalist,1:39 AM - 7 Jun 2010,3z0ooz,https://en.m.wikipedia.org/wiki/Abdalaziz_Alhamza,6143,342,"Berlin , Germany .","52.51703,13.38885","Syrian journalist&human rights defender from #Raqqa,the founder&spokesperson of @raqqa_sl ,character of @cityofghosts alz3emtop@gmail.com http://fb.com/3z0ooz"
police/traffic,2:38 PM - 22 Apr 2009,Katie_Jeffries,http://www.firstcoastnews.com,5959,510,"Jacksonville, FL","30.33218,-81.6556499","I anchor traffic & news then write, shoot & edit stories for @FCN2go... and that is all before noon. #KatiesCommuters"
journalist,9:47 AM - 12 Jan 2011,JBellamyTV,https://www.facebook.com/JenniferBellamy11Alive,4277,989,"Atlanta, GA","33.74909,-84.3901799","@11AliveNews Reporter, Georgia Bulldog, Falcons Fan, DST, Singer of Songs Instagram: JBellamyTV jbellamy@11alive.com"
disaster/accident,5:19 AM - 24 Oct 2011,TheSyndicateHQ,,250,195,,,"The Syndicate: an alliance of UK crime reporters, writers & editors"
wx,12:59 PM - 19 Jan 2009,NBCConnecticut,http://www.nbcconnecticut.com,234842,775,Connecticut,"41.65002,-72.7342099","Thank you for stopping by @NBCConnecticut -- the place to go for exclusive local stories, the latest breaking news, weather updates and more."
fire/emt,4:13 AM - 13 May 2010,NorthYorksFire,http://www.northyorksfire.gov.uk,17303,372,"North Yorkshire, UK","54.090685,-1.53422232695036",The official Twitter page for North Yorkshire Fire and Rescue Service. Always dial 999 in an emergency.
journalist,5:28 AM - 19 Nov 2010,anealla,http://aneallasafdar.org,3291,1320,"Doha, Qatar","25.30149,51.4996620296742",Deputy online editor at Al Jazeera + founding editor of @miniaturestory
journalist,3:19 PM - 11 Aug 2014,PubNBlogLl,http://www.socialmarketingsolutionsllc.net,18116,13498,"Fort Collins, CO","40.55085,-105.0667999",Do you need help with content creation? Our team of writers will help you create a compelling brand story for your business. See our website to hire a #writer.
journalist,8:05 AM - 9 Feb 2011,pollyn1,http://www.womensaid.org.uk,9064,1579,London,"51.50732,-0.1276399","Chief Exec of @womensaid. Tweets are all my own views. Proud mother of fantastic girls, feminist, love cycling, my friends, writing and lots of other things"
news,9:16 AM - 16 Feb 2008,blackvoices,http://www.huffingtonpost.com/black-voices/,343728,20054,"Our News, Our Voices",,"Black news, culture, entertainment and opinion. #AllBlackLivesMatter"
police/traffic,12:26 AM - 14 Sep 2014,DCPNEBCP,http://bcp.gov.in/home.aspx,13008,26,"Bengaluru, India","12.97911,77.59129","Deputy Commissioner of Police - North East Division, Bengaluru City."
news,6:08 AM - 18 Oct 2010,lizTandwa,,1616,358,south africa,"-28.8166199,24.99163","Friend, sister, daughter and aunt to two adorable girls. News junkie to a fault. tweets are my own"
fire/emt,7:15 AM - 1 Oct 2014,DubFireBrigade,,22978,649,Townsend Street DFB HQ,,Award winning Twitter account for Dublin Fire Brigade and Ambulance Service. (01) 673 4000. Not monitored on a 24 hour basis. In emergency dial 999 or 112
police/traffic,1:02 PM - 24 May 2011,MontrealDrive,,3155,44,"Montreal, Quebec, Canada","45.50879,-73.5539799",Montreal rush hour traffic and transit updates live from Daybreak & Homerun - CBC 88.5FM. Tweet or call *3222 http://bit.ly/bT0rv6
news,4:28 AM - 19 Jul 2011,stormontweets,,7826,455,Northern Ireland,"54.656875,-6.56342025520468","Independent feed of the latest political news & tweets from the Northern Ireland Assembly, MLAs, MPs & parties. Use their @username to tweet them directly."
wx,7:40 PM - 23 Apr 2013,LisaTeachman,,5585,1162,,,"Meteorologist//BS in Geosciences, Mississippi State // BA in Communication, Wichita State // Emmy Award Winner // AMS Seal of Approval"
wx,9:52 PM - 12 Aug 2011,BhamUpdates,http://BirminghamUpdates.com,182415,999,"Birmingham, UK","52.47768,-1.8948499","Award-winning News, Travel & Weather Updates. Facebook: http://fb.com/bhamupdates  Email: luke@birminghamupdates.com"
news,8:21 AM - 11 Oct 2014,USAToday24h,https://www.facebook.com/pages/News-United-States/642641552509576,93,4,,,United States News 24h - USA
news,3:06 PM - 1 Aug 2013,Eletiofe,http://www.eletiofe.com,73,94,,,"Eletíọfe: Nigeria's No.1 information Hub. Providing Up-to-Date News As They Unfold and Keeping You Informed of Past, Current and Breaking Events"
wx,8:59 AM - 25 Jan 2010,wxyzalicia,http://www.wxyz.com,20702,14990,Detroit,"42.34866,-83.0567299","Cheerleader of the #backchannel in the AM..aka #earlyrisers ,WXYZ Morning Anchor, doting Aunt, animal lover, java drinker...& happy wife! :)"
news,11:56 PM - 5 Aug 2007,SimonBotes,http://www.simonbotes.co.za,2839,504,"South Africa, Plettenberg Bay","-34.0527699,23.36944","Son, Brother, Husband, beta tester, inventor, entrepreneur, Social Media consultant ""Top 200 Young South African's"" (Mail & Guardian 2011) & an ""Extremist""."
journalist,6:30 PM - 5 Mar 2014,amykauffmanTV,http://www.news9.com,933,927,"Oklahoma City, OK","35.47298,-97.5170499","News 9 Anchor/Reporter. PA raised. @MariettaCollege alumna. Loves yoga, coffee & shopping. Call (405) 843-6641 or email amy.kauffman@News9.net with story ideas!"
journalist,5:20 PM - 7 Jul 2012,jrsalzman,http://www.jrsalzman.com,24515,2427,Wisconsin,"44.43089,-89.6884599","Christian, Iraq War Vet/Amputee/Wounded Warrior, World Champion Lumberjack. Freelance writer. Doesn't respond to anonymous accounts."
news,11:53 AM - 11 Jul 2010,IndianapolisUSA,,1429,313,"Indianapolis, IN","39.76833,-86.1583499",Indianapolis Twitter with the latest #breaking #news & #events in #Indy #Indianapolis #Indiana
fire/emt,7:19 AM - 6 Jun 2013,NewHavenFire,http://newhavenfire.org,5199,2650,"New Haven, Ct","41.30821,-72.9250499","New Haven Fire Twitter!! - if you use our pictures, credit New Haven Fire Twitter.. #nhfd73"
wx,7:59 AM - 23 Oct 2012,BrittanyABC17,https://www.facebook.com/MeteorologistBrittanyBeggs,2269,1375,Mid-Missouri,"39.53796,-92.6455399","Morning Meteorologist for ABC17 News in #MidMO. Master's from Saint Louis University, Bachelor's from Drury University, & CBM from AMS. http://abc17news.com"
journalist,5:00 AM - 28 Apr 2014,WestEndMatt,,857,643,"Toronto, Ontario","43.65292,-79.3848999","MCIP, RPP, Arty-farty. My views are my own."
news,3:10 AM - 11 Feb 2009,ScottishSun,http://www.thescottishsun.co.uk,37153,779,"Glasgow, UK","55.85665,-4.2435799","Get the latest Scottish news, entertainment and sport from your No.1 Scottish Sun. Also on Facebook http://fb.com/thescottishsun"
journalist,8:24 PM - 18 Jun 2012,cgilmoreNews9,,834,1337,,,FL transplant in OKC UF Grad. KWTV News9 Reporter. Everyone has a story let's hear yours. RT not Endorsements 405-669-0629 chris.gilmore@news9.net
journalist,2:12 PM - 9 Dec 2012,AJGuglielmi,http://about.me/anthonyguglielmi,4526,677,"Chicago, IL","41.87555,-87.6244199","Chief Communications Officer @Chicago_Police. Fmr chief spokesman @BaltimorePolice & @US_OSC. Writer, coffee lover. Tweets mine. anthony.guglielmi@gmail.com"
journalist,8:54 AM - 18 Apr 2011,YasmeenTV,https://www.facebook.com/YasmeenHassan,3306,954,"Las Vegas, NV","36.16628,-115.1492199","Anchor, reporter, Egyptian, & #Wildcat yasmeen.hassan@ktnv.com"
