journalist,4:38 AM - 31 Dec 2012,blossomdai,,768,371,Dalton,"34.72372,-84.8685052278689","mummy of two, reader, writer, former journo & PR gal and occasional dog wrangler"
journalist,7:55 AM - 11 Mar 2009,BruceLeshan,http://www.wusa9.com,6210,3133,"Washington, DC","38.89495,-77.0366399","@wusa9 reporter covering tech, politics, crime and everything else. Dad, husband, lover of waves, forests, food, and gardens. Retweets ≠ endorsements."
journalist,7:17 PM - 29 May 2009,NicoleCarrWSB,http://www.wsbtv.com,8196,3491,Atlanta-NC,"35.58554,-82.5865399",Reporter @wsbtv. Wife. Mommy. Army Brat. #NABJ #WSSU #Syracuse #AKA E-mail news tips to nicole.carr@wsbtv.com
fire/emt,11:45 PM - 21 Apr 2015,TomPricePol,http://www.police.wa.gov.au,1019,134,"Tom Price, Western Australia","-22.6892899,117.79748","Welcome to Tom Price Police. If you need police assistance call 131444, if it's an emergency call 000. Twitter is not monitored 24/7."
journalist,7:16 AM - 21 Sep 2013,PrinceArihan,http://www.goachronicle.com,1468,228,Goa & Delhi,"15.30045,74.08551","Human, Indian, Entrepreneur, Author #KarmicIshq, Poet & Politician. Founder & EIC - http://GoaChronicle.com . Mission Clean Water & Clean India - #BharatFirst"
news,8:11 AM - 5 Feb 2017,countdown2040,http://www.countdown2040.com,1380,1064,,,"We, as students active within the field of media, want to let the world know about the whispers regarding the end of the Zionist regime’s life at Countdown2040."
news,10:03 AM - 15 Jul 2009,ABC7Brad,,2393,193,,,Maryland Bureau Chief for ABC 7 News. If You have a story please let me know
disaster/accident,2:18 PM - 27 May 2010,DNewsCrimeTeam,http://www.deseretnews.com,3016,327,Salt Lake City,"40.76701,-111.8904299",Breaking news from the Deseret News crime team
news,6:11 AM - 28 Mar 2011,B985FM,http://www.b985.com,2129,364,"Atlanta, GA","33.74909,-84.3901799","Atlanta's station for the 80s, 90s & NOW!"
fire/emt,7:08 AM - 20 Sep 2012,PolkFire,http://www.polk-county.net/FireRescue/,1804,157,,,"Polk County Fire Rescue (PCFR) is a division of the Polk County Board of County Commissioners. PCFR provides fire, EMS, emergency management, to Polk County."
fire/emt,3:45 PM - 12 Mar 2009,AuroraPD,http://www.aurorapolice.com,27744,810,"Aurora, Colorado","39.72943,-104.8319099",The men & women of the APD are committed to a #SaferAurora. Site not monitored 24/7. In an Emergency Call 911. Non-emergency Call 303-627-3100.
news,4:56 AM - 6 Aug 2012,chixtumanitue,,6420,6066,Quiet Spirit in a crazy world,,I opened this account as Main Stream Media ignores Indigenous issues. Social Media obviously needs to get the WORD out .....
fire/emt,10:47 AM - 25 Jul 2012,OnFire136,,117,69,Florida,"27.75676,-81.4639799",
news,2:18 PM - 17 Dec 2015,NewsfeedTr,http://buzz.newsjs.com/,243,346,istanbul,"41.00963,28.96516",#BreakingNews your's daily news resource
journalist,2:04 PM - 23 Nov 2010,hannahwinston,http://hannahwinston.com,1457,699,SoFla,"-41.4630099,-72.9740399","@pbpost crime and breaking news journalist, @UFJSchool Gator, @_FloridaMan chronicler. Tell me your story: hwinston@pbpost.com"
news,1:38 AM - 6 Jun 2012,Supercross_Fans,https://twitter.com/Supercross_Fans,5959,5669,,,AMA Supercross enthusiast update and share news
wx,6:11 AM - 29 May 2012,NWSMissoula,http://weather.gov/missoula,7472,317,"Missoula, MT","46.87008,-113.9952699","Official Twitter account for the National Weather Service Missoula, MT. Details: http://weather.gov/twitter"
news,1:33 AM - 26 Nov 2013,kenyanews247,http://www.kenyanews247.com,975,0,,,Kenya Dynamic News website. News updated every 25mins of everyday
news,5:05 PM - 2 Feb 2014,Abdul_Ent,http://www.abdulkuku.blogspot.co.uk,15212,8605,,,"News, Entertainment and Promotions -abdulkuku1111@gmail.com -https://www.facebook.com/abdulkukublogspot … - https://www.facebook.com/abduluncut  Add 7B03D12D for bbm updates"
news,8:51 AM - 3 Nov 2009,BW_Business,https://services.businesswire.com,1558,119,USA,"39.78373,-100.4458799","Business News Releases from Business Wire, a Berkshire Hathaway Company."
journalist,6:16 AM - 11 Feb 2011,SarahNKraus,http://www.globalnews.ca/edmonton,3840,1549,"Edmonton, Alberta","53.53436,-113.5064999",Reporter @GlobalEdmonton. Loves #YEG. Environmentalist. Athlete. Dog mom. Oilers fan. Story idea? sarah.kraus@globalnews.ca
news,1:08 PM - 4 Nov 2012,GridlockRadio,http://GridlockRadio.com,979,2349,World Wide,,GridlockRadio a reason to listen to the radio again. 94.3FM Miami 103.1FM Miramar. http://tunein.com/radio/GridlockRadio-s275268 …
