fire/emt,9:06 AM - 28 Aug 2009,SacRegionalPark,http://www.sacparks.net,1050,171,"Sacramento, California","38.58157,-121.4943899",Sacramento County Regional Parks Department. Not monitored 24/7. Call 916-875-7275 to report incidents in Parks. Call 911 for emergencies.
journalist,11:33 AM - 15 Apr 2009,JoshuaGuess,http://joshuaguess.com,2224,419,"Ky, USA","37.5726,-85.1551399","Apocalyptic, scifi, and superhero novelist. #writer #amwriting #indie Support on Patreon: https://goo.gl/IL9meP"
fire/emt,1:41 PM - 16 Feb 2017,KingsCoFire,http://countyofkings.com/departments/fire-department,71,239,"Hanford, CA","36.32745,-119.6456799","The Kings County Fire Department strives to promote, preserve and protect the public safety and security of all members of the community."
news,6:00 AM - 19 Jun 2016,buzzfaqs,http://BuzzFAQs.com,6081,2,Free Speech USA,"39.75667,-104.9751999",Your Mom & Pop News Aggregator
journalist,12:38 AM - 7 Apr 2009,MariaHechanova,http://www.tucsonnewsnow.com/global/Story.asp?s=22649447,3366,2876,"Tucson, AZ","32.22174,-110.9264699",Reporter for KOLD News 13 & KMSB FOX 11 @TucsonNewsNow| Dog mom to a rescued Shih Tzu | Proud @NAUswimDive alum| Opinions are my own
wx,6:56 AM - 13 Apr 2007,NTVNEWS,http://www.nebraska.tv,13955,924,Central and Western Nebraska,,"Central and Western Nebraska's source for news, weather and sports, as well as your favorite ABC programming"
police/traffic,5:17 PM - 21 Sep 2013,Kaidinn,https://secure.avaaz.org/en/stop_saudi_beheadings_loc/,9455,9558,a creation of the Internet,,"Duty of youth is to challenge corruption | anti police state, police brutality, for-profit prisons | #OpNimr #FreeThe3 | #OpSerenaShim #FreeMattDeHart"
journalist,9:45 PM - 23 Nov 2011,KetanJ0,https://ketanjoshi.co/,9404,5203,Sydney,"-33.8548099,151.21645",Clean tech comms/tech/analysis consultant. Science/tech/culture writer. Chart of the day: #cotdkj. Expect dog content.
journalist,3:48 PM - 30 May 2012,countykathleen,,745,408,,,"Investigative reporter for the Ventura County Star. Cover education, growth issues and county government. Ventura mom."
journalist,6:41 AM - 3 Feb 2011,glorycaribbean,http://glorycaribbean.com,406,592,"Bridgetown, Barbados","13.09778,-59.6184099",Author of Pure Heart One Year Devotional; CEO of Merit International Co. Ltd; Editor-in-Chief at GLORY Caribbean Magazine.
news,6:47 AM - 27 Aug 2016,RangeReporter,http://FreeRangeReport.com,2843,2926,"Washington, USA","38.89495,-77.0366399",Preserve our Western Outdoor Heritage. News of issues facing rural communities & Native Americans. Advocates for locally-sourced government. #Ranching
journalist,9:24 PM - 21 Jun 2014,RedNationHoops,http://RedNationHoops.com,2102,171,"Houston, Texas","29.75893,-95.3676899","Managing Editor of the @HoustonRockets blog http://RedNationHoops.com . Host of The Red Nation Hoops Podcast. Tweet opinions, stats, rumors, & information."
journalist,1:57 PM - 2 May 2009,JimDalrympleII,https://trippingovertheworld.wordpress.com/,14054,754,LA,,"Journalist @BuzzFeedNews. Covering protests, droughts, general mayhem. Also, travel @TrippingWorld. jim.dalrymple@buzzfeed.com"
news,10:46 AM - 10 Jan 2009,registerguard,http://www.registerguard.com/,23447,86,"3500 Chad Dr Eugene, OR 97408","44.085985,-123.052677448077","Follow for breaking news, stories, photos, RTs of our journalists and more"
journalist,1:56 PM - 14 Sep 2015,primalpoly,http://www.primalpoly.com,7989,1010,New Mexico,"34.57081,-105.9929999","Evolutionary psych professor; wrote some books. Mate choice, sexual politics, Effective Altruism, freedom. Most tweets are ironic & don't reflect anyone's views"
govt,8:53 AM - 27 Feb 2009,MassAGO,http://www.mass.gov/ago/,36090,1833,Massachusetts,"42.37887,-72.0323599",Official Account of MA Attorney General Maura Healey. For help call or visit our site: 617-727-8400/ http://mass.gov/ago  Facebook: http://www.facebook.com/MassAttorneyGeneral …
news,9:57 AM - 12 Sep 2014,mediat_en,http://www.mediat.global,488,1304,london,"51.50732,-0.1276399",Gb #england #london media mediat english
news,8:05 PM - 20 Apr 2012,TomLivingston5,,1134,333,,,Videographer @WEWS since 1981. Take pictures from 6 and a half feet above the earth and dig through the station's archives as well.
journalist,8:52 AM - 13 Jan 2015,TKless12News,,270,653,"Beaumont, TX","30.08604,-94.1018399","@12NewsNow Reporter | @UCF alumna | Soccer nerd, sometimes just a nerd | Opinions are my own, RTs not endorsements | Send me story ideas! tkless@12newsnow.com"
news,8:46 PM - 26 Oct 2013,INDYPRESSGL,https://itunes.apple.com/us/podcast/speedway-digest-radio-network/id876506255?mt=2,2057,2124,30 mins from @ACSupdates,,"#Indycar Media Member. Host of the Motorsports Apex podcast on http://BlogTalkRadio.com  on @speedwaydigest, Followed by @JeffGordonWeb #THINKFAST"
news,9:36 AM - 19 Nov 2008,AzCapitolTimes,http://www.azcapitoltimes.com,18728,659,"Phoenix, Arizona","33.44858,-112.0773399","The Arizona Capitol Times is an award-winning newspaper that covers state government, politics and legislative news."
journalist,1:08 PM - 18 Jul 2012,WHEC_cmolineaux,http://whec.com,517,63,"Rochester, NY","43.15728,-77.6152099","Reporter/Anchor at WHEC News 10 in Rochester, NY"
news,9:24 AM - 16 Feb 2009,NewarkAdvocate,http://www.NewarkAdvocate.com,9571,942,"Newark, Ohio","40.05812,-82.4012599","This is the Twitter account for The Advocate and http://NewarkAdvocate.com  in Newark, Ohio. We're Licking County's source for news."
news,4:18 AM - 24 Feb 2010,AGTDaily,,3335,627,,,"Breaking news about America's Got Talent, curated by @quiboatnews."
journalist,8:20 PM - 27 Jul 2009,TimeBase,http://www.timebase.com.au,1846,3370,Sydney Australia,"-33.8548099,151.21645","TimeBase Australian legal publisher with the most comprehensive national coverage of legislation in Australia, and a range of innovative legal research tools."
journalist,3:31 PM - 19 Aug 2009,william_pitts,,6406,1091,"Tempe, AZ","33.41441,-111.9094399",Reporter/Blogger for @12News | wpitts@12news.com | #GoDevils | PGP: AF5B CC13 DA79 3414 9D47 CFA2 4A5B B591 5E76 0757 | PGPKey: http://ow.ly/Q9Fwl
news,12:52 PM - 20 Mar 2016,TheRealQumlarea,,77,51,"Missouri, USA","38.76048,-92.5617799",http://steamcommunity.com/id/Qumlarea/tradeoffers/privacy … https://www.youtube.com/channel/UCDxNwJM4a7iq4i6RtX8mAlw … https://www.twitch.tv/nikki_bruises
journalist,6:12 AM - 24 Jul 2014,MelJohnsonTV,,413,636,"Rochester,NY","43.15728,-77.6152099",Reporter for Spectrum News @HowardU grad
news,5:44 PM - 10 Nov 2011,antant44,http://goo.gl/tsswF,56,157,Oceania,"-18.3127999,138.5156",NEWS MESSAGE for the countries of Oceania
news,12:29 AM - 16 Sep 2010,AviationUpdates,,18286,2870,"New York, NY","40.73059,-73.9865799","Breaking news about Aviation, curated by @quiboatnews."
