news,6:43 PM - 14 Jul 2009,Marc_Bertrand,http://www.CBSBostonSports.com,70357,635,"Boston, MA","42.36048,-71.0595599",Co-Host of @ZoAndBertrand. Pre- and postgame host on The Patriots Radio Network. TV for @CSNNE. Proud @UMassAmherst alum.
journalist,4:18 PM - 7 Feb 2014,NicoleRCooke,http://sedaliademocrat.com,512,67,"Sedalia, Mo.","38.70446,-93.2282599",City reporter/news editor at @SedaliaDemocrat. 2015 Missouri Outstanding Young Journalist award recipient.
news,10:36 AM - 7 May 2008,PhillyDailyNews,http://www.philly.com,141544,759,"Philadelphia, PA, US","39.95239,-75.1635799",The Philadelphia Daily News: Philly's pain in the ass since 1925. Find us online at http://philly.com  and on Facebook at http://facebook.com/phillydailynews
journalist,1:38 PM - 24 Feb 2009,jmarshfof,http://www.thepensblog.com,9125,1568,Pittsburgh,"40.44169,-79.9900799",Writer for @Pensblog. NHL Entry Draft. #fancystats. The X's and O's of hockey. Hip-Hop Lover. West Ham Till I Die.
journalist,12:54 PM - 17 Sep 2009,ChristineVendel,http://connect.pennlive.com/staff/cvendel1/posts.html,1713,416,Harrisburg,"40.26631,-76.8861099","I cover Harrisburg, PA for PennLive/The Patriot-News, former KC Star cops reporter, who writes while standing and loves parades, marching bands and fountain pop"
news,10:10 AM - 8 Feb 2009,familysafety,,3743,462,U.S.,"45.18958,-88.7321519",Watching out for you with helpful safety tips and important news about security issues affecting you and your family.
news,9:03 AM - 29 Jan 2009,FortMacToday,http://FortMcMurrayToday.com,20738,446,"Fort McMurray, Alberta, Canada","56.72344,-111.3743199",The Fort McMurray Today is the paper of record serving Wood Buffalo. Find us on Facebook and Instagram.
journalist,9:54 PM - 19 Aug 2010,SamKVOA,http://www.kvoa.com,1758,731,"Tucson, Arizona","32.22174,-110.9264699","Reporter. News 4 Tucson. @KVOA. Michigander. @Cronkite_ASU grad. Tweets, RTs & follows ≠ endorsements. ssalzwedel@kvoa.com"
journalist,11:58 AM - 12 Apr 2009,rcallimachi,http://topics.nytimes.com/top/reference/timestopics/people/c/rukmini_callimachi/index.html,170993,3628,"New York, New York","40.73059,-73.9865799","Correspondent for The New York Times, focusing on al-Qaeda and ISIS. Previously, seven years in West Africa as Correspondent & Bureau Chief for The AP."
journalist,5:30 PM - 5 Feb 2013,IannottiRalph,,4517,531,,,KDKA TV Nightside Reporter. Avoiding the void. riannotti@kdka.com
journalist,8:53 AM - 14 Nov 2010,ashwani_mahajan,http://ashwanimahajan.wordpress.com,18738,5121,"Delhi, India","28.65171,77.22193","Author, Columnist, Associate Professor, PGDAV College, University of Delhi. National Co- convenor #SwadeshiJagranManch http://ashwanimahajan.wordpress.com"
journalist,12:21 PM - 26 Aug 2014,PradyTweetz,https://www.instagram.com/p/5ZhL9pGWi5/,146,249,"Maharashtra, India","19.53193,76.05545","Surgeon, Movie Buff, Geminian, Artist. Views expressed here are purely my personal! #SurgeryResident #Telugu #KosthaAndhra #Kakinada"
journalist,2:31 PM - 3 May 2010,BillyAlsbrooks,http://www.BillyAlsbrooks.com,22656,16746,"Orlando, Florida","28.54211,-81.3790399","Influencer Billy Alsbrooks is an Author,Thought Surgeon, & Powerful Motivational Speaker. Purchase His New Book At: http://BlessedAndUnstoppable.com"
journalist,6:41 PM - 17 Aug 2011,MIRanda_TV3,https://www.facebook.com/MirandaChristianNews?ref=hl,1188,682,"Omaha, NE","41.25873,-95.9378699","Reporter/MMJ for 3 News Now, Colorado native, Morningside Alum, sports fanatic. Tweets are my own."
wx,2:36 PM - 15 Feb 2011,SandhyaABC7,http://abc7news.com/weather/,11415,712,San Francisco,"37.77928,-122.4192299",Sandhya Patel is a meteorologist for the ABC7 weather department. She is the weekday weather anchor for ABC7 News at 5 and 11 p.m.
news,12:07 PM - 16 Jan 2009,ALcomHuntsville,http://www.al.com/huntsville,49370,346,"Huntsville, Alabama","34.746775,-86.7086188994222",Tweeting all things Huntsville from Alabama Media Group's online home of The Huntsville Times.
journalist,4:42 PM - 4 Jul 2009,MaxBlumenthal,http://maxblumenthal.com,94474,2622,,,"Senior Editor, AlterNet's @GrayzoneProject Author, The 51 Day War: Ruin and Resistance in Gaza http://www.publicaffairsbooks.com/book/hardcover/the-51-day-war/9781568585116 …"
fire/emt,2:49 PM - 25 Feb 2009,CSPDPIO,https://www.facebook.com/Colorado-Springs-Police-Department-133820446633849/,43389,380,"Colorado Springs, CO","38.83395,-104.8253399",Operated by CSPD Public Affairs Section. This page is not monitored 24/7 Emergencies? Call 9-1-1. Use discretion when commenting. http://ow.ly/1CV73037xy8
wx,4:11 PM - 23 Mar 2009,MeteoroloJess,http://wcsh6.com,2814,1663,"Portland, ME","43.66102,-70.2548499","Mainah. Meteorologist at @WCSH6 & @WLBZ2. Math Instructor @SMCCMaine. @PlymouthState Alum. I love snow, lenticular clouds, ice cream, the ocean, and purple."
disaster/accident,3:40 PM - 30 Oct 2014,CriminologyRR,http://bit.ly/1TlryeU,13236,6689,,,Live #criminology content curated by top Criminology influencers. (Pic:http://bit.ly/2f9GT5A )
news,10:01 PM - 25 Oct 2011,windupmyskirt,http://www.windupmyskirt.com,4521,4299,"British Columbia, Canada","55,-124.9999999",#Disabled #Paralysis #Atheist #Feminist #LGBTQIA #hashtagger #blogger #wordpress #420 #BLM #news #cars #cats #HumanRights #liberal #travel
news,7:56 AM - 9 May 2010,MrDBake,http://www.azfamily.com/,800,1070,"Phoenix, AZ","33.44858,-112.0773399","3TV & KPHO Digital Media Producer. Always looking for interesting stories. Politics observer. Die hard Oakland Raiders, Phoenix Suns & ASU Sun Devils fan."
wx,3:26 PM - 16 Sep 2008,SpecNewsATX,http://www.twcnews.com/spectrumnews,52046,8095,"Austin, Texas","30.27112,-97.7436899","Central Texas' only 24-hour news, weather & sports channel. Follow us on Facebook: https://www.facebook.com/spectrumnewsATX"
journalist,12:29 AM - 4 Apr 2016,wongalum,http://www.dailycal.org/author/ashleywong/,272,154,"Berkeley, CA","37.87083,-122.2728599",王藹琳. Covering academics & admin as a lead beat reporter for @dailycal. Film & lit disciple. Contact: ashleywong@dailycal.org
journalist,1:29 AM - 17 Jun 2011,MenRightsAdv,http://saveindianfamily.in,460,78,"No Men Land,Fake Case Industry",,किसी देश की संस्कृति तोड़ दो देश अपने आप टूट जाएगा। बाहरी ताकतों ने ये कर दिखाया । महिला शकती के नाम पर 08882 498 498 views personal No endorsement
journalist,11:50 AM - 13 Oct 2010,MaryEDivine,http://twincities.com,3206,3334,"St. Paul, Minnesota","44.9504,-93.1014999","Reporter @PioneerPress. I tweet Washington County, St. Croix River Valley & Minnesota news. E: mdivine@pioneerpress.com; P: 651-228-5443"
journalist,9:56 PM - 9 Sep 2015,toi_pDasgupta,,2976,648,Kolkata,"22.56874,88.34629","Priyanka Dasgupta is the Features Editor of The Times of India, Kolkata. Views expressed are personal."
journalist,12:47 PM - 12 Sep 2012,JesseBogan,http://www.stltoday.com,1606,1170,St. Louis Post-Dispatch,"38.634745,-90.1952061912088",reporter
journalist,8:12 PM - 10 Mar 2009,WNFIV,http://www.itbinsider.com,9069,983,"Raleigh, NC","35.78039,-78.6390899","William Needham Finley IV™. Fyre Festival survivor. Creator, writer, editor of @ITBInsider. Insta: @wnfiv wnfiv@itbinsider.com"
journalist,12:32 PM - 31 May 2009,alisoncrawford5,,13429,1494,"Ottawa, Ontario","45.42103,-75.6900199","Senior reporter CBC parliamentary bureau covering national politics, RCMP and Supreme Court. Knitter, traveller & Nordic noir fan."
journalist,5:37 AM - 24 Mar 2011,jartaylor,http://amren.com,29984,26,"Oakton, Virginia, USA","38.88138,-77.3006399",Editor of American Renaissance. Author of White Identity: Racial Consciousness in the 21st Century.
journalist,5:28 PM - 9 Mar 2014,ConradMBlack,http://www.conradmblack.com,12281,237,"Toronto, Canada","43.65292,-79.3848999","Historian, Author, Columnist, Financier, Founder of @NationalPost, Peer of the Realm @UKHouseOfLords, Justice Reform Advocate, and Animal Lover."
news,3:36 PM - 12 Oct 2012,europefox,http://www.newsfox.eu,371,325,Europe,"51,9.99999",Europe News Fox #newsfox press @europefox
news,10:16 AM - 18 Dec 2014,ScreeningNews,,128,41,"Cleveland, OH","41.50516,-81.6934399",All the latest news covering employment background checks and pre-screening issues. Must-read for employers and hiring companies.
