journalist,1:34 PM - 12 Mar 2009,AnnetteLawless,http://www.instagram.com/AnnetteLawless,18454,1463,Wichita & Cleveland,"37.69223,-97.3375399","Emmy & Murrow-Award Winning Morning Anchor at @KAKENews ● Wife & Mom ● Social Media Guru ● #Actor http://imdb.to/1MYwORE  ● Formerly @Fox8News, @KWCH12 & KTKA"
news,6:45 AM - 11 Feb 2011,silverrich39,,3008,2872,"Liverpool, England","53.40547,-2.9805299",A lifelong Socialist and Christian. Open mouthed about the extent of media bias against the working class! It needs to be addressed PDQ avid Corbynista
fire/emt,9:45 AM - 16 Dec 2016,SquadFirePhotos,http://www.squadfirephotos.com,390,219,,,Retired Firefighter and Fire Photographer in central Connecticut
news,6:20 PM - 25 Oct 2012,Graphicgh,http://www.graphic.com.gh,12395,116,,,Official News Website of The Daily Graphic. Ghana's Premiere and Most credible Media House since the 1950s
disaster/accident,4:27 AM - 10 Oct 2014,Disastrolizer,http://disaster.trendolizer.com,1092,418,,,The most trending disaster news as collected by Trendolizer
fire/emt,3:15 AM - 28 Mar 2009,gordiemorrison,,337,534,scotland,"56.78611,-4.1140499",Work as a Station Manager for Scottish fire and rescue service within Aberdeenshire & Moray.
journalist,4:39 AM - 8 Mar 2011,tanvirarain,http://www.dawnnews.tv/authors/1524/tanveir-arain,5262,170,London,"51.50732,-0.1276399","Political & Security Analyst, Columnist | Contributor: @dawn_com @DailyTimes_DT @TFT_ | Covering War & Conflicts, |Former Anchor Person| Masters in IR|"
journalist,8:12 PM - 25 May 2011,Fox35DerrolNail,,918,205,,,Fox Orlando reporter covering the Space Coast and beyond.
news,4:38 AM - 21 Apr 2016,BigBossBattleUK,http://bigbossbattle.com,456,99,United Kingdom,"54.70235,-3.2765699","Gaming news, reviews, features, & videos. We are enthusiast bloggers & love games, Be sure to interact! Manned by @Ben_Bayliss"
news,2:39 PM - 20 Mar 2010,justeconomics,http://page.is/dr-tom-oconnor,3333,3955,"cork, Ireland","51.89792,-8.4705799",Economics and Public Policy lecturer in Cork Institute of Technology. Love music. Frequent media contributor. I work for a just society with just economics.
news,5:52 AM - 27 Apr 2012,BBCNewsNE,http://bbc.in/northeast,15628,142,Across the North East,"40.73595,-100.4657999","The latest BBC news and sport for Tyneside, Wearside, Northumberland, County Durham and Teesside."
news,6:03 AM - 25 Jun 2012,USsocialnews,,3882,4293,,,We deliver the latest US news everyday
news,4:19 AM - 15 Sep 2014,tamildiplomat,http://tamildiplomat.com/,384,0,London,"51.50732,-0.1276399","An Independent news service works with a global network of journalists, who report on matters concerning the Tamil Nation. Retweets not endorsement"
news,11:02 AM - 5 Oct 2012,Socialingilbert,,9596,9136,Gilbert AZ,"33.35282,-111.7890199","News, Events, Entertainments, Announcements here in Gilbert, AZ. Join the FUN!!!"
wx,8:01 AM - 25 Jun 2012,NWSGrandRapids,http://www.weather.gov/grandrapids,10071,167,"Grand Rapids, Michigan","42.96324,-85.6678599","Official Twitter account for the National Weather Service Grand Rapids, Michigan. Details: http://weather.gov/twitter"
police/traffic,6:14 AM - 7 May 2009,BumblebeeAuctns,http://www.bumblebeeauctions.co.uk/,955,0,UK,"54.70235,-3.2765699",UK Police Property Disposal
journalist,6:15 AM - 8 Nov 2011,gerryorome,,6714,1439,,,Irish born journalist living in Rome. Associate editor and Vatican Correspondent for America magazine. Interested in China..
journalist,11:52 AM - 19 Jan 2013,FrankKHanover,http://www.theserialfrozenlinearblog.wordpress.com,433,650,Cork,"51.89792,-8.4705799","Journalist, editor, broadcaster, writer, thinker, VO artist and utterly independent cynic and curmudgeon; the opinions my own"
journalist,11:29 PM - 17 Nov 2012,StephKimNews,http://firstcoastnews.com,255,176,"Jacksonville, FL","30.33218,-81.6556499",Chicago Native. #illini alum. Reporter/Producer for First Coast News @FCN2go
