news,8:57 AM - 10 Dec 2008,CrucesSunNews,http://www.lcsun-news.com,23308,1469,"Las Cruces, New Mexico","32.31403,-106.7797999","The Las Cruces Sun-News. Your source for news, sports, politics, business and entertainment in Dona Ana County and the Mesilla Valley."
wx,7:54 AM - 17 Jan 2013,WEARAllenStrum,,3849,624,"Pensacola, FL","30.4213,-87.2169099",Chief Meteorologist @WEARTV This account is run by Allen Strum along with WEAR-TV and its producers.
news,6:13 PM - 16 Sep 2016,llyoung28,,217,111,United States,"39.78373,-100.4458799",Political News
wx,6:07 PM - 7 Sep 2012,NWSBinghamton,http://www.weather.gov/bgm/,21567,153,"Johnson City, NY","42.11563,-75.9587999","Official Twitter Account for National Weather Service Binghamton, NY. Details: http://weather.gov/twitter"
news,7:53 PM - 20 Jan 2011,AprilESRoberts,,1370,2366,New York New York,"53.47685,-2.2385199","NYC based media sponge. It's a thing. If I had ever learnt, I should have been a great proficient."
news,9:10 AM - 27 Aug 2008,SyfyWire,http://www.syfywire.com,31369,134,"The past, present and future",,"Syfy Wire (http://syfywire.com ). We publish news, video and original editorial all about science fiction, fantasy and supernatural horror."
news,6:34 PM - 21 Jul 2009,dallasnewsnow,,1350,135,Dallas Texas,"32.77627,-96.7968499",Dallas News Now . 2200 Ross Ave . #Dallas . #Texas . 75201 . @visit_dallas . @dallasnews . @dallascowboys . @dallasstars . @dallasmavs . #DFW
journalist,2:00 PM - 16 Oct 2008,bobambrogi,http://www.lawsitesblog.com,16183,2396,"Rockport, Mass.","42.65565,-70.6203199","Media and tech lawyer, writer, consultant."
journalist,1:12 PM - 24 Oct 2009,JustinWingerter,http://cjon.co/1Ojmgvl,1284,348,"Topeka, KS","39.04901,-95.6775499",Federal/state government reporter for The Topeka Capital-Journal. Email: justin.wingerter@cjonline.com. Phone: [785] 295-1100. Accepting direct messages as well
news,8:58 AM - 30 Apr 2015,EastIDNews,http://www.eastidahonews.com,1054,165,"Idaho Falls, ID","43.49352,-112.0400899","We're the experienced team at http://EastIdahoNews.com . If you see news happening, email news@eastidahonews.com or call (208) 528-NEWS."
wx,7:12 AM - 15 Jun 2013,jrt67,,460,138,🇺🇸,,~1905 The ship my GGP' Peter & Pia sailed on from to ~ Ellis Island Only God knows which way The wind (weather and life) will blow
fire/emt,5:17 PM - 8 Jun 2016,FHPTrooper_SWFL,https://goo.gl/TBBKfm,379,72,"Florida, USA","27.75676,-81.4639799","Official Twitter of FHP SW FL, Feed not monitored 24/7 | Emergency call 911 | Non Emergency call 239-938-1800 | Courtesy, Service, Protection | Office of PAO"
journalist,10:27 AM - 14 Aug 2010,Carolyn_Arnold,http://carolynarnold.net/,27290,16173,Canada,"61.06669,-107.9916999","International bestselling #mystery #author. Four continuing series, nearly thirty published titles. Founder of @CelebratingAuth."
news,12:51 AM - 13 Nov 2012,HusainRif,http://www.news4masses.com,23176,1003,"New Delhi, India","28.61389,77.21595","Founder N4M Media @News4Masses, nationalist, columnist, media entrepreneur, socio-political strategist"
news,1:31 AM - 3 Jul 2011,KovaiNews,,1079,1,Coimbatore,"11.00181,76.96284",Kovai/Coimbatore in News
news,8:40 AM - 3 Apr 2009,winnipegsun,http://www.winnipegsun.com,49059,493,"Winnipeg, Manitoba","49.88333,-97.1666699","For the best in news, sports, and entertainment, check out http://winnipegsun.com ."
journalist,12:28 AM - 12 Aug 2015,NileshShah68,,27213,127,"Mumbai, India","18.95238,72.83271","MD, Kotak Mahindra Mutual Fund. These are my personal views and not necessarily of my organisation."
journalist,11:03 PM - 15 Mar 2009,CDurkin_9,,415,341,"Ballarat, Victoria","-37.5622599,143.86072",Journalist @9NewsWesternVic. Melbourne born and raised. Coffee addict. Yoga lover. Richmond tragic. Got a story? cdurkin@nine.com.au
journalist,7:05 AM - 26 Jul 2009,LeonieFRyan,http://www.7news.com.au,2582,1606,"Sydney, New South Wales","-33.8548099,151.21645",Channel 7 Court Reporter. Pug mother. Happy Wanderers supporter. Eels fan. Prefers CDs. Views are mine. lfryan@seven.com.au
news,3:14 PM - 18 Mar 2009,Breaking_NewsTN,https://www.facebook.com/pages/Breaking-News-Tennessee/1228751417150478,4596,1505,"Maryville, TN","35.75647,-83.9704499","Breaking the News I hear and see. Retweeting Local, State, National, and International News. Photographer-Member NPPA & SPJ. Retweets are not endorsements."
journalist,10:40 PM - 16 Sep 2013,WhiteYt85,http://www.theaustralian.com.au,1544,809,Sydney,"-33.8548099,151.21645","Business writer and associate editor at The Australian. Former columnist and editor.Husband, father of two boys, Carlton FC fan. Got a story? PM me"
news,12:02 AM - 13 Mar 2016,KENS5Greg,http://www.kens5.com,72,28,"San Antonio, TX","29.4246,-98.4951399","Director of Digital Media for KENS 5. Mizzou J-School grad. ""Wise shall be the bearers of light."" Tweets are not endorsements."
wx,8:26 AM - 9 Mar 2009,WOWT6News,http://www.wowt.com,99546,1247,"Omaha, Nebraska","41.25873,-95.9378699","Your Home for News. Follow us for the latest breaking Omaha news, weather, and sports. #watchWOWT live at http://WOWT.com ."
news,11:01 PM - 23 May 2010,The_Japan_News,http://the-japan-news.com/,115178,30,"Tokyo, Japan","34.225575,139.294773938122","News from The Japan News, the English-language sister publication of Japan's largest daily newspaper, The Yomiuri Shimbun. @JN_Japanese"
journalist,6:18 AM - 2 Oct 2009,saahilmenghani,http://www.news18.com/byline/saahil-menghani.html,4706,351,New Delhi,"28.61389,77.21595","Anchor & Senior Correspondent at @CNNNews18 | Crime, Courts, Terrorism & Investigation | Ex freelance Journalist, @TimesOfIndia | AJKMCRC, Jamia Millia Islamia"
fire/emt,8:01 AM - 18 Jan 2015,WildFire_Ops,http://www.wildfireops.net,1298,1605,Get our App,,You need this app!
news,8:30 AM - 17 Jan 2017,RugbyAddictUK,http://rugby-addict.com,302,1906,,,All the latest #rugby news from around the web at http://rugby-addict.com
journalist,9:32 AM - 14 Aug 2007,seanlawson,http://www.seanlawson.net,2400,3396,"Salt Lake City, Utah","40.76701,-111.8904299","Cyberwar, drones, security, military theory. Author: Nonlinear Science and Warfare http://amzn.to/1c3prc0  Contributor: http://blogs.forbes.com/seanlawson"
news,7:35 AM - 10 Oct 2010,MemphisReport,,5839,366,"Memphis, TN","35.14902,-90.0516199","Breaking news about Memphis, TN, curated by @quiboatnews."
police/traffic,6:53 AM - 11 Apr 2016,ahmetsyayla,https://gmu.academia.edu/AhmetSYayla,8522,436,"Washington, DC","38.89495,-77.0366399","Senior Research Fellow at http://ICSVE.org  & Adj. Professor of Criminology, Law and Society at George Mason Univ. & Former Counterterrorism Police Chief."
journalist,2:35 AM - 14 Apr 2011,MulaMutha,https://udayskulkarni.wordpress.com,2535,83,"Pune, India.","18.643955,73.9325641441199","Surgeon, Author, Books - 'Solstice at Panipat', 'Bakhar of Panipat' and 'The Era of Bajirao'. History. Journalism. AFMC. Ex-Indian Navy. Politically inert."
fire/emt,5:45 AM - 21 Jul 2015,HFDNews,http://www.hagerstownmd.org/index.aspx?nid=149,1191,509,"Hagerstown, MD","39.64192,-77.7202599",Official News Page for the Hagerstown Fire Department - Instagram: hfdnews
news,3:08 AM - 24 May 2016,PhotogWKBW,http://www.wkbw.com,208,22,"Buffalo, NY","42.88644,-78.8783599",News photographer.
wx,1:00 PM - 2 Jul 2013,WillKRCG13,http://krcgtv.com/weather,899,1407,"Jefferson City, MO","38.57735,-92.1724199",@KRCG13 Morning Meteorologist covering mid-Missouri weather. Probably looking for the next thing to juggle. Proud @ValpoU alum. #MOwx #KRCGwx
journalist,5:40 PM - 22 May 2011,shawna_chapman,,569,546,"Michigan, USA","43.62119,-84.6824299","CEO, Grosse Pointe Publishing Inc. Writer--Social Commentator--Media Critic, Analyst, Consultant--Consumer Advocate"
journalist,12:38 PM - 11 Jun 2009,Kparam,,523,23,Washington D.C. and New Delhi,,"Consulting Editor, THE TELEGRAPH"
news,7:22 AM - 27 Feb 2009,HeartNews,http://newsroom.heart.org,63683,405,"Dallas, Texas","32.77627,-96.7968499","HeartNews delivers the latest news, information and resources about heart disease and stroke from the American Heart Association/American Stroke Association."
journalist,7:48 AM - 16 Sep 2010,sarahnferris,http://www.thehill.com,4258,1299,The District,"48.810105,10.6998952380952","Reporter for @Politico, covering budget/approps, and always tweeting about healthcare. Formerly @thehill. Dairy farmer's daughter & New England ice cream snob."
journalist,9:33 PM - 2 Feb 2011,bhavatoshsingh,http://live.indiatimes.com/,2399,258,New Delhi,"28.61389,77.21595",Journalist with @timesnow . bhavatosh.singh@gmail.com
journalist,10:20 AM - 11 Mar 2013,KEYTNC3JohnP,,4640,164,On the go....,"43.72153,-79.3766199","Emmy - Golden Mike winning TV-radio reporter, anchor, photographer. Twitter Best of - winner in SB Independent, Citizen of the Year, face on sticker, NASCAR"
police/traffic,9:53 AM - 8 Aug 2014,SBCSDCptDeCecio,,1447,285,"Highland, California","34.12834,-117.2086499","Captain, San Bernardino County Sheriff's Department, Highland Station"
news,1:44 AM - 4 Mar 2009,Moneyweb,http://www.moneyweb.co.za,86998,2153,"Johannesburg, South Africa","-26.2049999,28.04972","Business, Financial, Investment, Media, Tech News on South Africa. RTs are not endorsements"
journalist,1:34 AM - 18 Sep 2009,poonamjourno,http://thequint.com,1698,420,Delhi,"28.65171,77.22193","Associate Editor @thequint | Previously: @ndtv and @timesnow | Interested in: Investigative Journalism, CBI, ED, Intelligence Bureau, RAW, MHA"
journalist,2:02 AM - 13 Oct 2016,MohitBhatt90,,35,127,"Delhi,India","28.65171,77.22193",Correspondent at NewsX
journalist,7:15 AM - 13 Apr 2013,Saurabhjr,http://saurabhwritez.blogspot.in/,987,986,Shimla,"31.244445,77.7006181818182","Journalist, books, music (not noise), poetry, Politically Incorrect... studied Social Work"
journalist,8:42 AM - 11 Sep 2013,WSAZJatara,http://wsaz.com,1223,805,"Charleston, WV","38.35059,-81.6332799",Reporter/MMJ @WSAZNews | Pittsburgh raised | @UofMaryland '15 #MerrillMade | FB: http://bit.ly/1Qe7n49  | website: http://bit.ly/1Ugu0EP
journalist,12:06 PM - 7 Oct 2014,KaleaWCHS,http://wchstv.com,780,1069,"Charleston, WV","38.35059,-81.6332799",Multimedia Journalist/Reporter for @wchs8fox11 | #EyewitnessNews | WVU Alum | Tweets are my own
police/traffic,10:35 AM - 18 Apr 2016,DiPhoenixPolice,,17,87,"everywhere, bitch.",,
news,7:05 AM - 25 Jan 2013,AlbaniaUpdate,,245,0,,,"Breaking news about Albania, curated by @quiboatnews."
