journalist,7:20 AM - 30 Jan 2009,JBFlint,,16433,1218,Los Angeles,"34.05439,-118.2439399",Wall Street Journal media reporter. I'll sleep when I'm dead.
journalist,1:03 PM - 12 Aug 2010,thatbilloakley,http://en.wikipedia.org/wiki/Bill_Oakley,26200,929,"Portland, OR","45.52024,-122.6741899","TV Writer & Producer. The Simpsons, Futurama, Mission Hill, Portlandia. Country fan, Maryland native and @Ravens fanatic. Twitter assistance by @oakley_asst"
journalist,4:27 AM - 25 Apr 2013,reparationsni,https://qub.academia.edu/LukeMoffett,2267,2792,"Belfast, Northern Ireland","54.59698,-5.9300899",Lecturer @qubschooloflaw. Views my own. RTs ≠ endorsement. Director @QUBHRC. Tweeting on #victims #ICC #reparations & #IHL
news,8:29 AM - 21 Feb 2012,musicnews_daily,http://dailymusicandnews.com,563,136,,,Your daily dose of music and news curated by @GigiCaponePr. Contributors wanted info@gigicaponepr.com
journalist,12:07 PM - 23 Dec 2010,TheJulieBenson,,6449,2050,"Los Angeles, CA","34.05439,-118.2439399",A new life awaits me in the off-world colonies. / Dog owner. / Writer on (@cwthe100) The 100 and on (@DCcomics) Batgirl and the Birds of Prey.
quake,10:07 AM - 18 Jan 2013,TTremblingEarth,http://blogs.agu.org/tremblingearth,2250,680,"Oxford, UK","51.75201,-1.2578399","Earthquake aficionado personally and professionally. Postdoc with @NERC_COMET in active tectonics @OxUniEarthSci, CA transplant, AGU blogger, & I luuuuvs maps"
news,10:00 AM - 2 Aug 2016,Yoon_News_Today,https://www.youtube.com/channel/UC8pCO-SN0pZL6hJRyy3y7xw,949,936,Scotland,"56.78611,-4.1140499",Bar one newspaper Scotland's MSM comes in only one flavour -Unionist- We can't vote them out but we can call them out for the UKGov propagandists that they are.
journalist,6:15 AM - 7 Feb 2013,war_zone_1,http://warzone10.wordpress.com,399,1252,,,"Media Journalist, Author, Foreign Correspondent covering war zones Views expressed are my own and retweet"
news,12:49 PM - 11 May 2016,Redhatorian,,405,900,"Cork, Ireland","51.89792,-8.4705799",Technology & Science Tech News Tech Influencers Science News Opinion Business & Finance
journalist,5:35 AM - 9 Jul 2010,StevenLBell,,2423,1610,"Cumbria and Manchester, UK.","53.51713,-2.2886099","BBC Radio Cumbria journalist. Producer, Mike Zeller at Breakfast, weekdays 6.30am-9.00am. Newsreader. Ex-commercial radio presenter. Fan of football and cider."
news,9:52 AM - 28 Jun 2012,TeleNewsdaily,,2818,3454,,,Fantasy Telecon News from sources all around the world
journalist,12:43 PM - 16 Oct 2010,aev1609,,1616,1887,,,"Mother, wife, daughter, sister: always European, want the best for my family and my country. No Brexit please. Views my own"
govt,3:14 AM - 21 Dec 2013,officialdohgov,http://www.doh.gov.ph,11466,114,Manila,"14.59062,120.97996",The Official Twitter Page of the Department of Health of the Republic of the Philippines
news,10:36 AM - 22 Jan 2009,newsjunke,,742,1667,"St. Louis, MO","38.62727,-90.1978799","I'm a NEWS junke, MUSIC lover with DANCE moves."
journalist,12:41 AM - 17 Jan 2010,sakshijoshi85,https://en.m.wikipedia.org/wiki/Sakshi_Joshi,5213,331,delhi,"28.65171,77.22193","TV journalist since 12 yrs. Don't need a 'Deshbhakt' certificate from anyone. if you still want to give, go ahead...will use it for dusting."
journalist,4:27 AM - 23 Mar 2009,WJXTvic,http://Instagram.com/vicmicolucci,6675,1254,"Jacksonville, FL","30.33218,-81.6556499",@wjxt4 TV Anchor / Reporter. Emmy & Murrow-winner. DJ. Photographer. @UFJSchool grad. Jesus follower. @wolfsonchildren auxiliary.
news,3:30 PM - 21 Oct 2016,Buzzworksmedia,http://bit.ly/2mQ0Csc,489,1549,Nigeria,"9.60003,7.99997","For effective Social Media Campaigns, Twitter Trends, Social Media Mangement, Digital Marketing, Bridging the gap between your brand and your audience"
news,1:35 AM - 28 Nov 2014,hvinod24,https://www.facebook.com/vinod.subhash.3,2218,2943,"Bengaluru, India","12.97911,77.59129","Social Media Influencer, Product executive at @Oneindia #DigitalMarketing #SocialMedia #Blogger"
journalist,2:00 PM - 6 Mar 2012,markhowell7,,158,101,"Lambeth, London, England, UK","51.5013,-0.1172799","Economy of democratically supervised, needs-satisfaction maximising entrepreneurs http://amazon.com/author/mhowell  http://www.labour.org.uk/index.php/10-pledges …"
journalist,9:25 AM - 5 Dec 2014,BeePranom,,466,344,,,"Views expressed are my own. Retweets do not equal endorsements.#ASEAN #Socialjustice, #state violence ,#women rights #environmental #humanrightsdefender"
news,11:21 PM - 25 Mar 2009,AlecBordelon,,562,378,"Baton Rouge, Louisiana","30.45074,-91.1545499",Director at WBRZ in Baton Rouge. News lover. Beyonce fan.
journalist,2:12 PM - 19 Mar 2012,FordMcCartney,,1028,2980,Portlandia,"45.51575,-122.6789999",Poet/writer artist creator @octopusinky & Tired of carrying everyone else's'water! #ELO #Paris #Chicago #love #cubs #mmj #DuchessofCambridge #pdx #truth
govt,10:13 PM - 15 Dec 2014,john_cronin48,,3212,3285,Toowoomba Qld,"-27.5610099,151.95335",Ex Qld government veterinarian & private vet practitioner. Passionate about accountability in government. We should hold MPs accountable or reap what we sow.
news,3:02 PM - 9 Aug 2016,StateOfNetwork,http://dailymotion.com/StateOfNetwork,38,2,WWW,"52.26583,-1.7845699","The most important news trends report of #Venezuela and Latin America 24 hours, in all social networks. En Espanol: @ElEstadoDeLaRed"
news,3:21 PM - 25 Apr 2009,Allblackmedia,http://allblackmedia.com,14271,4969,"Manhattan, NY","40.79027,-73.9597199","All Black Media is an online based media platform for entertainment, culture, and current issues in our communities. Follow us. http://www.allblackmedia.com"
fire/emt,10:25 PM - 11 Aug 2014,WembleyPol,http://www.police.wa.gov.au,2179,909,"Wembley, Western Australia","-31.9336399,115.8148","Welcome to WembleyPolice. If you need police assistance call 131444, if it's an emergency call 000. Twitter is not monitored 24/7."
news,7:40 AM - 27 Jul 2011,megameetei,http://page.is/megameetei,20484,1393,India,"22.35111,78.66774","Techie, Media Influencer, New Media"
news,10:39 PM - 9 Nov 2014,ETEnergyWorld,http://energy.economictimes.indiatimes.com/,2525,4805,"New Delhi, India","28.61389,77.21595","Latest offering from The Economic Times - Dedicated to the best news and opinion on oil & gas, power, coal and renewables. Newsletter http://bit.ly/2bNOEtI"
journalist,10:27 AM - 16 Aug 2012,MickGreenhough,,4169,4977,Orpington,"51.38058,0.10634","http://Eur.Ing , M.I.Mech.E rtd, commercial diver rtd, Primitive Methodist, Neo-Chartist not retired and eco-engineer tidal flow power, editor http://theeuroprobe.org"
news,3:13 AM - 16 Feb 2014,bburnwithdarwen,http://www.newslocker.com/uk/region/blackburn_with_darwen/,1908,1433,,,Find your latest news about Blackburn with Darwen with just one click. Don’t miss out on anything happening in your profession .check http://www.newslocker.com/uk/region/blackburn_with_darwen/ …
news,4:21 AM - 18 Apr 2017,Westminster_17,,61,38,United Kingdom,"54.70235,-3.2765699","24/7 live news coverage of the UK General Election, 8 June 2017"
news,5:20 PM - 2 Feb 2011,DarNT,,2783,49,Darwin,"-12.4604399,130.84104","Infocasting NT News, Events, Gossip and Generalities. Northern Territory Australia #DarwinNT (I might not share an opinion T/RT, but then I might)"
news,11:21 AM - 21 Jul 2014,PhillyUSA_News,http://www.newslocker.com/en-us/region/philadelphia/,1325,1407,,,Find your latest news about Philadelphia with just one click. Don't miss out on anything happening in your region!
wx,11:15 PM - 26 Apr 2015,ViciousWeather,,580,746,"Texas, USA","31.81603,-99.5120899","Storm chaser, lover of all things nature or science related, metal head, family man."
fire/emt,11:22 AM - 30 Aug 2012,Traviscoesd12,http://www.tcesd12.com,481,95,"Manor, Texas","30.34076,-97.5569399",Travis County Emergency Services District #12
journalist,9:29 AM - 8 May 2010,crookedfootball,http://www.crookedtimber.org,3813,1637,"Bristol, UK","51.45349,-2.5973899","Political philosopher: politics, philosophy, photography, migration rights, Rousseau, global justice ... All tweets reflect my personal views only."
journalist,9:57 AM - 22 Jul 2016,tamaghnaTOI,,69,155,Kolkata,"22.56874,88.34629",Journalist with TOI Kolkata..
journalist,5:34 AM - 19 Sep 2009,bharti11,http://timesofindia.indiatimes.com/toireporter/author-Bharti-Jain-1895.cms,2127,969,"New Delhi, India","28.61389,77.21595","Editor - Internal Security, The Times of India. With a nose for news and eye for detail. This is a personal handle and views are my own"
journalist,8:53 AM - 16 Sep 2011,TalbotCharlotte,http://www.getsurrey.co.uk,2628,2162,,,Chief reporter at Surrey Advertiser Runnymede & Spelthorne and Elmbridge editions charlotte.talbot@trinitymirror.com 07822862587
news,12:30 AM - 6 Jun 2014,PMOIndia_RC,https://www.facebook.com/PMOIndiaReportCard,18146,133,,,Get all the latest updates on work done by @PMOIndia to bring #AccheDin. Unofficial| RTs aren't endorsements Spread Positive news & Build your own ecosystem.
news,5:13 AM - 26 Mar 2015,adekitanboye,http://www.adekitanboye.info,1957,1016,Nigeria,"9.60003,7.99997","Adekitanboye's Blog is all about news, entertainment, sports, gossip, relationship, technology, inspiration and celebrity gist..."
news,10:26 AM - 21 Jan 2012,newslock_uknews,http://news.newslocker.co.uk/uknews/,1841,2094,,,Find your latest news with just one click. Don't miss out on anything happening in the UK .check http://news.newslocker.co.uk/uknews/
news,6:14 AM - 5 Apr 2009,AlexAtroushi,http://www.iscc.se,2824,2160,Stockholm,"59.32511,18.07109",Media & Communications Officer
police/traffic,3:05 AM - 18 Nov 2014,ChronicleTravel,http://chroniclelive.co.uk,3165,67,Newcastle upon Tyne,"54.97709,-1.6141999",Traffic and travel news from across the North East run by the @EveningChron team
journalist,4:33 AM - 9 Feb 2010,shivmalik,,14248,2528,,,"Former Guardian investigative correspondent. Author of The Messenger due Jan 2018. @genrentuk trustee. Co-author, Jilted Generation. Telegram: Shivmalik"
journalist,9:42 AM - 26 May 2009,adambvary,http://buzzfeed.com/adambvary,11374,666,Los Angeles,"34.05439,-118.2439399","I like fonts. A lot. Also: Senior Film Reporter for @BuzzFeedNews. In my spare time, I eat pie and cupcakes. Aspiring scrutineer."
journalist,10:54 PM - 25 Jun 2011,RMorrison9,,917,1494,"Brisbane, Queensland","-27.4689599,153.02349",Balmain Boy. Journalist @9NewsBrisbane @9NewsAus rmorrison@nine.com.au Instagram: rob__morrison
news,2:54 PM - 31 Mar 2009,PDXCarla,,1125,1938,"Portland, Oregon","45.52024,-122.6741899","Emmy award winning news Producer, native Oregonian, fan of Game Of Thrones, Dexter, The Good Wife, Justified, coffee and chocolate"
news,6:54 AM - 16 Feb 2015,ICRC_Africa,https://www.icrc.org,79961,649,Nairobi / Geneva,,Africa-focused account of the programs and activities of the International Committee of the Red Cross (@ICRC). Media queries: +254 733 622 026 /+41 22 730 34 43
journalist,9:53 PM - 21 Sep 2009,alexpoucher,http://alexpoucher.com,79277,217,"Berlin, Germany","52.51703,13.38885","Video Journalist, Photographer, Correspondent. Covering News, Human Rights, Politics & Conflict all around the globe. News Director / Founder @AlexPoucher_com"
journalist,2:57 PM - 18 Oct 2011,HattyCollier,http://www.standard.co.uk/,2630,2289,"London via Leek, Staffordshire",,"Online news reporter at the Evening Standard, ex-@sheffjournalism & @guardian Scott Trust. Runner. DMs open. Tips to hatty.collier@standard.co.uk / 02036150573"
news,8:24 AM - 21 Jan 2014,LaurentF4BWT,http://www.qrz.com/db/F4BWT,708,1141,FRANCE,"46.60335,1.88833","Actif sur Echolink, IRN International Radio Network @IRNONTS3, APRS. Actif sur Twitter pour partager les informations #hamradio #hamr. Amities 73 QRO"
journalist,11:01 PM - 6 Aug 2013,AlexTaylorNews,,11660,519,Paris,"48.85661,2.35149",Journaliste europeen pendant 30 ans - maintenant militant pro UE! Ex European journalist trying his damnedest to stay on the unisolated part of the continent!
journalist,3:23 PM - 18 Jan 2012,10NewsHunt,,16465,6836,San Diego,"32.71742,-117.1627699","ABC @10News Weeknight Anchor. I'm addicted to major news, dark chocolate, strong coffee, and all things San Diego! On Facebook: https://www.facebook.com/KimberlyHunt10News …"
journalist,8:00 AM - 2 Mar 2010,nertiqatja,https://voiceofpeopletoday.com/,858,52,Worldwide,,"Human Rights activist, founder and publisher of @Vop_Today - a media dedicated all to the #People. Follow The Light."
news,2:17 PM - 6 Feb 2015,tweetmybrands,,747,2562,Internet,,Connecting Fans with brands through marketing awareness & all Social Media platforms DM us for details http://www.instagram.com/tweetmybrands
news,7:42 AM - 12 Jan 2017,kenny_kwaso,,33,176,Matlosana,"-26.8318949,26.4960024137931",Entertainment Entertainment Music International Entertainment Football Local News Local News Government News Sport Radio & TV
news,10:35 AM - 20 Oct 2008,SPIN,http://www.spin.com,476339,1176,,,"Music news, interviews, photos, reviews, and more."
journalist,5:52 AM - 29 Mar 2009,atilatstokbroka,http://www.attilathestockbroker.com,3357,284,"Southwick, near Brighton",,"'Most people ignore most poetry because most poetry ignores most people' (Adrian Mitchell) I write poetry for people who don't like poetry. BHAFC, JezWeCan!"
journalist,1:03 PM - 5 Aug 2009,PatrickGower,http://www.bloomberg.com/authors/ARJaSZw_trc/patrick-gower,3675,1266,East Dulwich,"51.45855,-0.0727299",Bloomberg legal reporter covering courts and cartels
disaster/accident,3:49 AM - 9 Jan 2013,cica_claims,https://www.criminal-injuries.co.uk/,399,674,"Harrogate, England","53.99214,-1.5390999",We help people obtain compensation following personal injury sustained as a result of a criminal assault. 01423 593002 http://on.fb.me/WsZaXd
police/traffic,12:09 AM - 25 Jan 2015,HarryO1975,,4261,2973,"Lexington and Louisville, Ky","38.24524,-85.7000099","#TheBlackWatch - Reporting injustice, spreading awareness, addressing racism, police brutality and telling the unpopular truth. #1God #God1st"
news,8:10 AM - 21 Sep 2010,FOXProvidence,http://www.foxprovidence.com,1718,5,"East Providence, RI","41.81371,-71.3700499","Rhode Island's home for FOX network programming, Eyewitness News, and original local shows including Executive Suite, The Money Pros and more!"
police/traffic,2:20 PM - 20 Jun 2013,TrafficChiefNG,http://trafficchiefng.com,53541,19950,"Lagos State, Nigeria","6.490875,3.38577245714286","On your way to Work or back Home? Check Traffic Reports on your route, make the best desicion, save yourself time, money & stress: http://trafficchiefng.com"
news,4:27 AM - 21 Jul 2010,Arizona_travels,,894,377,,,Arizona travel news and info
govt,3:03 PM - 5 Apr 2009,PatrickCorrigan,,4015,1979,Northern Ireland,"54.656875,-6.56342025520468",Happy days in sunny Newcastle. Head of Nations & Regions @AmnestyUK. Integrated school governor. Tweets in a personal capacity.
news,7:52 AM - 16 Feb 2014,Economy_UKnws,http://www.newslocker.com/uk/profession/economy/,598,733,,,Find your latest Economy news with just one click. Don’t miss out on anything happening in your profession .check http://www.newslocker.com/uk/profession/economy/ …
news,8:52 AM - 13 Sep 2012,BristolBizz,,703,89,Bristol,"51.45349,-2.5973899",Helping Bristol Businesses promote there websites via social media services! Visit our site for more information!
journalist,3:44 PM - 10 Sep 2011,AndyPalumbo_,http://www.andypalumbo.com,1927,291,"N E, PA","40.96998,-77.7278799","Reporter/Anchor/Producer/Photographer for WNEP TV 16, the ABC/CNN affiliate serving northeastern and central Pennsylvania."
wx,12:29 PM - 10 Mar 2009,KMOVWeather,http://www.kmov.com/weather/,8436,1246,"St. Louis, Missouri","38.62727,-90.1978799","The latest scoop on the weather directly from the 4Warn Weather Team, also check out @kmov and @kmovprogramming"
fire/emt,3:00 AM - 14 May 2010,DSFireUpdates,http://www.dsfire.gov.uk,19775,911,"Devon & Somerset, England","50.75,-3.7499999","Devon & Somerset Fire & Rescue Service's official Twitter site. Follow us for community safety information/campaigns, incidents, news & recruitment (not 24/7)."
journalist,7:37 AM - 5 Mar 2011,orevaeju,,198,91,abuja nigeria,"9.06433,7.48929","writer,goal getter,world changer and leader..."
journalist,11:56 AM - 18 Oct 2013,DrayClarkABC7,,3980,409,"New York, NY","40.73059,-73.9865799",Dray Clark is reporter working at WABC in New York City. Excellence is always the standard not the goal. Retweets are not endorsements.
journalist,3:28 PM - 31 Dec 2010,rogersarkansas,http://rogersarkansas.blogspot.com/,326,11,NORTHWEST ARKANSAS,"33.22524,-92.6492699","Northwest Arkansas: famous for chickens, hogs, billionaire art, trucks, and being headquarters for world's largest Chinese flea market. I write what U see."
