news,8:17 PM - 5 Jan 2010,rameshlaus,http://www.edisonawards.in/,125160,597,"Chennai, India","13.07969,80.28295",Indian Movie Industry Tracker | Social Media Strategist | Co-ordination for Award Events | Co-founder - Cinema Pesalam YT Channel
news,7:38 AM - 13 Apr 2010,an_artnews,http://www.a-n.co.uk/,50876,1105,,,"Your route to the latest on the contemporary visual arts, from a-n The Artists Information Company. https://www.a-n.co.uk/news  Image: http://ow.ly/CFKt30bohn8"
news,7:39 AM - 19 Apr 2016,KelvinMugendih,http://www.kelvinmugendi.com,31966,26590,"Nairobi, Kenya","-1.2832499,36.81724","BLOGGER ON SUCCESS, ENTREPRENEUR, SOCIAL MEDIA STRATEGIST."
police/traffic,4:58 AM - 12 Jul 2016,StokePoliceNrth,https://www.staffordshire.police.uk/article/2777/Stoke-on-Trent-North,977,361,"Stoke-on-Trent, England","53.0162,-2.1812599","Commander of local policing in Stoke-on-Trent North (Burslem, Tunstall and surrounding areas) Follow @policingStoke for the latest updates"
police/traffic,4:59 AM - 24 Nov 2010,brumpolice,http://www.west-midlands.police.uk,134168,621,Birmingham,"52.47768,-1.8948499",Covering the city of Birmingham as part of West Midlands Police. To contact Birmingham police dial 101
news,3:24 PM - 10 Apr 2017,NYC__Newz,,1080,3762,Global,,The latest news of interest about #NY #NYC #NewYork in one place!
news,5:30 PM - 10 May 2012,AustinNewsdaily,,5623,7284,,,Your source for the latest news on Austin
news,3:53 AM - 8 Jul 2015,InquiryCSA,https://www.iicsa.org.uk,2336,667,England and Wales,"51.02039,-2.5897099",Follow us for the latest news from the Independent Inquiry into Child Sexual Abuse #InquiryCSA #ResearchCSA #TruthProject. Retweets are not endorsements.
journalist,12:30 AM - 7 Feb 2013,AmirMateen2,http://www.amirmateen.com/,171813,703,Islamabad,"33.69457,73.06437","I like to think myself as a Reporter. Anchor at 92 News . Worked for The Nation, Dawn, The News & BBC as Washington Correspondent. Love my job"
news,4:14 AM - 31 Oct 2012,deathinparadise,http://www.facebook.com/DeathInParadiseUK,15639,488,Saint Marie,"46.55498,-0.1109899",Series Seven is currently filming in Guadeloupe! Follow us and @DIJackMooney for all the latest news from Saint Marie!
journalist,10:05 AM - 6 Nov 2015,softwarnet,http://www.softwar.net,1406,142,"Richmond, VA","37.5385,-77.4342799","CEO Softwar Inc., former journalist, expert encryption security programmer, privacy advocate, developed Quantum based encryption using light."
police/traffic,3:12 AM - 25 Aug 2012,policecommander,,15903,3578,London,"51.50732,-0.1276399","Copper, Husband, Dad, Writer. 'Blue: A Memoir' published on May 25th by @wnbooks. Contact: lwilliams@pfd.co.uk. Blogs: https://policecommander.wordpress.com/"
journalist,1:56 PM - 2 Jan 2010,MarcDDavies,http://www.huffingtonpost.co.za/bloggers/marc-davies/,1307,997,Johannesburg | London,"-26.2049999,28.04972","Journalist, @HuffPostSA. Politics. | Everything in life depends on how that life accepts it limits - J. Baldwin | Occasional contributor to @AfricaAtLSE"
police/traffic,12:04 AM - 10 May 2011,geoffscameras,http://geoffscameras.co.uk,12592,6082,"St Austell, Duchy of Cornwall",,"Hi, I'm Geoff, Cornwall's most falsely arrested and abused Whistleblower. Cornwall Council/Cornwall Foundation Trust/D&C Police/Sanctuary Housing/Coodes .."
fire/emt,8:04 AM - 22 Mar 2013,AngusPolice,http://www.scotland.police.uk,2820,333,Angus,"56.66666,-2.9166599","Twitter is not for reporting crime.  In an emergency, call 999.  To report a non urgent incident, call 101.  This site is not monitored 24/7."
news,5:11 AM - 2 Oct 2013,RepublikaEnglis,http://english.republika.mk,754,887,"Macedonia, Skopje","41.99609,21.43164",News website
disaster/accident,1:04 AM - 14 Aug 2015,PSRealTalk,,1851,994,Germany,"51.08341,10.42344",Bringing Incrementalism Back. My Culture War backup bunker: @PSRTBackup.
news,9:45 PM - 31 Oct 2012,IndiaNewsGoogle,http://india.todaysnewsheadlines.online,69,1,India,"22.35111,78.66774","Google India News – Find Latest News Today, Google News in English, Current News, Today's News Headlines, Breaking News Today by Google News India."
journalist,2:47 PM - 26 Apr 2007,indscribe,http://www.anindianmuslim.com,2784,474,"Bhopal, India","23.25309,77.39627","Journo for two decades. Covered crime, uncovered scams. Reported extremism of all hues http://Bestghazals.NET"
news,4:20 PM - 15 Jul 2010,pointlesslettrs,http://pointless-letters.tumblr.com,15685,60,In search of a point,,"Ever read a letter in a paper and immediately thought Eh? afterwards? Yeah, that. All wastes of stamps/electrons welcome. Definitely not from the Viz. Satire."
news,5:56 AM - 14 Nov 2008,PremierRadio,http://www.premierchristianradio.com,25607,2570,United Kingdom,"54.70235,-3.2765699","Premier Christian Radio, where faith comes to life! | On AM/MW, DAB, Freeview 725, Online, & on mobile http://www.premierchristianradio.com"
news,11:18 AM - 9 Dec 2013,mvnoblog,http://www.MvnoBlog.Com,957,1897,London,"51.50732,-0.1276399","http://MvnoBlog.Com  provides up to date industry specific news for the MVNO, Mobile, Telecoms and VOIP industries."
news,3:35 AM - 11 Feb 2011,MessengerNews_,http://www.messengernewspapers.co.uk/,8373,1406,"Trafford, Greater Manchester","53.418895,-2.35947099259259","Messenger Newspapers, The latest news and events from the Trafford area including Sale, Altrincham, Hale, Bowdon, Stretford and Urmston."
journalist,3:56 AM - 23 Jul 2013,carajat83,http://www.carajatgupta.com,179,606,Delhi,"28.65171,77.22193","Chartered Accountant, RSS and BJP Functionary, Motivational Speaker,Columnist, Writer, Socialist, Media Mitra"
journalist,12:55 PM - 24 Jun 2009,agamoni,http://www.ibtimes.co.uk,569,613,"Bengaluru, India","12.97911,77.59129","Senior Tech Reporter at IB Times UK Aspiring confectioner, tech writer, travel junkie,poetry lover, journalist...RT's =data speed*time"
disaster/accident,11:34 PM - 8 Apr 2016,DRM_Lebanon,https://www.facebook.com/DRM-Lebanon-1721650614758706/,253,206,"Grand Serail, Beirut, Lebanon",,"The UNDP Disaster Risk Management Project at the Presidency of the Council of Ministers, aims at Strengthening disaster risk management capacities in Lebanon."
news,12:09 PM - 24 Sep 2012,FredRosner,,19557,17472,"Las Vegas & Henderson, NV","36.16628,-115.1492199",#KindnessMatters. I Animals / Music / Humor / Film / Art / Photography / News / Social Media / Business / Consumers / History. #IStandWithIsrael
news,6:20 PM - 25 Aug 2011,Occupy4Eles,,7811,5915,Worldwide,,Elephant news from around the world. Dedicated to exposing the brutal plights faced by these gentle giants & inspire people to take action on their behalves.
news,12:42 PM - 26 Apr 2011,TBInvestigation,http://tn.gov/tbi,20776,1011,Tennessee,"35.773,-86.2819999",The Tennessee Bureau of Investigation is the state's lead law enforcement agency. Media inquiries: TBI.Media@tn.gov. Use policy: http://1.usa.gov/1qYju9L
news,11:36 AM - 27 Mar 2010,krocks_zpr,http://www.krocksradioone.com,185,131,"Wyoming,","43.17002,-107.5685299",Krocks Radio One / Zero Point Radio is an online Radio Station. See site for more Info.
news,1:44 AM - 20 Apr 2015,wilmslow_news,http://www.wilmslowguardian.co.uk,2677,517,"Wilmslow, England","53.32612,-2.2327499",Wilmslow Guardian Newspaper - bringing you all of the latest news and sport from Wilmslow and Cheshire
journalist,3:02 PM - 1 Jul 2015,dmbutopia,https://newcastle.academia.edu/DavidMBell,1336,2271,Nottingham/Newcastle,"52.95051,-1.1641999",Utopia within/against/beyond. Co-ordinate Imaginaries of the Future network. Wrote 'Rethinking Utopia'. Geog editor @openlibhums. @out_woods member.
journalist,6:06 AM - 27 Dec 2012,adellevilk,,1849,1667,Newman,"-23.3573899,119.73316","Writer, web designer, rescue animal advocate"
journalist,3:45 AM - 23 Mar 2009,Steverukavina,http://cbc.ca/montreal,3219,499,Montreal,"45.50879,-73.5539799",CBC Reporter stephen.j.rukavina@cbc.ca
police/traffic,11:24 AM - 20 Mar 2012,Traffic4NY,http://www.nbcnewyork.com/traffic/,7728,103,"New York, NY","40.73059,-73.9865799","Up to the minute, the minute you're up. All the latest on your morning commute. Join @NBCNewYork traffic reporter @LaurenScala4NY on #TodayInNewYork!"
news,8:48 AM - 28 Apr 2009,bucksfreepress,http://www.bucksfreepress.co.uk,17542,530,"High Wycombe, United Kingdom","51.62742,-0.7484099","The latest news, sport, leisure & information from High Wycombe and south Buckinghamshire. http://Facebook.com/bucksfree"
journalist,7:48 AM - 1 May 2009,ryanelijah,http://www.facebook.com/ryanelijahFox35,11670,7692,"Orlando, Florida","28.54211,-81.3790399","News Anchor, Coach, Dad, TobyMac Fan. Former NFL sideline reporter."
news,1:23 PM - 20 Jul 2014,TheRedTherapist,,304,303,,,"In a time of universal deceit, telling the truth is a revolutionary act George Orwell I tweet US news as what happens thre will come here Please RT when you can"
journalist,4:56 AM - 17 Feb 2011,lizziedearden,,4291,929,"London, most of the time",,Senior reporter at the @Independent. Retweeting ≠ agreeing.
journalist,5:10 AM - 6 Apr 2014,bjoernstritzel,https://www.facebook.com/bjoernstritzel/,7394,387,,,"Syria/Iraq, greater MENA, Jihadism and other stuff for @BILD. Surprise: views are my own."
journalist,5:06 PM - 12 Dec 2013,ZachAbuza,http://www.southeastasiaanalysis.com/,2132,307,"Washington DC, Warren VT & SEAsia",,"SEAsian politics & security: insurgencies, terrorism, governance, HR, & SCS. Prof at National War College. Dog & beer lover. Cyclist. Views mine not DOD/NWC."
police/traffic,7:08 AM - 13 Oct 2011,MacDonaldCasey,,1219,1087,"Kitchener, Ontario","43.45165,-80.4924599",Morning Traffic Reporter @570NEWS Traffic tip: 519-743-NEWS/*401 Story idea: casey.macdonald@rci.rogers.com *Opinions are mine*
news,6:08 AM - 7 Nov 2009,rodrigoordonez,https://id.linkedin.com/in/rodrigoordonez,819,1549,"Jakarta, Indonesia","-6.1753899,106.82718","International #communication and #media, now with @CIFOR. Tweets on #environment, #humanitarian #aid, #journalism and #multimedia. What's your story?"
fire/emt,7:08 AM - 18 Apr 2016,StructFireForum,http://www.structuresinfireforum.com,113,41,"Edinburgh, Scotland","55.94956,-3.1914899","Structures in Fire Forum (STiFF) is a discussion group made up of academics, designers, and local authorities whose interests are how structures respond to fire"
news,8:47 AM - 29 Dec 2011,jwaxsom,http://axsomreport.blogspot.com/,15401,13167,,,Axsom Report is a news aggregation website run by JW Axsom(@jwaxsom) http://axsomreport.blogspot.com
journalist,3:40 PM - 14 Jan 2013,InquisitrLife,http://www.inquisitr.com/category/lifestyle-2/,322,80,,,Lifestyle news and views from @TheInquisitr
journalist,2:01 AM - 18 Aug 2009,AhsanAbbasShah,https://www.facebook.com/syedahsan.abbasrizvi,6863,2105,"Lahore, Pakistan","31.56219,74.32285",Ex Media Consultant Ministry Of Interior (NCMC) / Sub-Editor (United Press Intl) / Ex Media Co-ordinator PPP Punjab / Writer / Blogger http://www.facebook.com/syedahsan.abbasrizvi …
disaster/accident,4:02 AM - 25 Feb 2016,CheshPolRural,http://www.cheshire.police.uk,1121,157,"Cheshire, UK","53.3402,-2.4231699",Official @cheshirepolice account about rural crime in Cheshire. This account is not monitored 24/7.
news,1:48 AM - 5 Jan 2010,TheMercurySA,,151004,896,"Durban, South Africa","-29.8618199,31.0099",Get a head start with KwaZulu-Natal's leading daily newspaper. Get in touch: mercnews[at]inl[dot]co[dot]za
journalist,2:50 AM - 14 Aug 2013,MaryJeanCBC,http://CBC.ca/thunderbay,1066,868,Thunder Bay,"48.40616,-89.2591399","CBC journalist, Mom, sports enthusiast"
fire/emt,3:20 AM - 19 Nov 2012,BTPLondon,http://btp.police.uk,2523,716,"London, England","51.50732,-0.1276399","Local policing teams based in and around London. Don't report crime here; #TextBTP on 61016, call 0800 40 50 40, or 999 in an emergency."
journalist,12:52 PM - 25 Aug 2011,twasfridaymorn,http://www.somersetlive.co.uk/,779,1104,"Glastonbury, England","51.14804,-2.7165699","Chief reporter for Somerset Live, dad, strummer, music lover, movie fan, views are my own"
journalist,8:18 PM - 4 Feb 2009,NicPerpitch,,2308,2204,"Perth, WA","-31.9527099,115.86047",ABC News Journalist http://www.abc.net.au/news  Retweets not endorsements perpitch.nicolas@abc.net.au Background pic courtesy Tony McDonough/Fairfax
news,1:01 AM - 10 Feb 2017,CrCF_Thailand,https://www.facebook.com/crcf.thailand,128,181,"Bangkok, Thailand","13.585915,100.41608339172",Official Twitter of CrCF - covering human rights & #HRDs news in #Thailand |Reporting torture is not a crime|
journalist,5:35 AM - 11 Jul 2013,RoseKBridger,http://rosebridger.com,1973,1694,Yorkshire - Ayup!,"53.74246,-2.0132499","Writer, campaigner, researcher. Co-founder of @AntiAeroGAAM Critic of #aerotropolis projects Author 'Plane Truth' http://planetruth.net"
govt,8:43 AM - 14 Jul 2013,InteriorKE,http://www.interior.go.ke,233070,521,"Harambee House, Nairobi Kenya.",,Official handle for the Ministry of Interior and Coordination of National Government in The Office of the President.
journalist,2:35 AM - 16 Aug 2010,haziq_qadri,,4585,82,Kashmir / New Delhi,,"Multimedia Journalist | Body Bizzare for @Discovery. Bylines in @guardian, @MailOnline, @TheSun, @DailyMirror, @Telegraph, @BBCIndia and @thecaravanindia"
fire/emt,8:37 AM - 26 Jul 2011,cta,http://www.transitchicago.com,185857,70,"Chicago, IL","41.87555,-87.6244199","Chicago Transit Authority updates/news/more. Not monitored 24/7: in emergency, ALWAYS tell nearest employee/call 911. Full service: http://transitchicago.com/feedback ."
journalist,5:36 AM - 1 Sep 2010,jatindes,,599,80,"Mumbai, India","18.95238,72.83271",Journalist | Human Rights Activist
journalist,2:22 AM - 13 Feb 2013,Ettan1945,,3279,4653,,,"Political junkie, loves music, reading, sports, technology, wish to share views & to stay informed.RT betyder inte alltid medhåll.#MAGA #Obamagate #MSGA"
news,3:40 PM - 24 Mar 2012,NubaReports,http://www.nubareports.org,6137,1549,"Southern Kordofan, Sudan",,Nuba Reports is a media organization based in Sudan's conflict zones and powered by local journalists. Follow us for news on #Sudan.
news,5:41 AM - 21 Aug 2014,KTNNews,http://ktnnews.com,198490,47,"Nairobi, Kenya","-1.2832499,36.81724","KTN News is a 24-hour news,current affairs channel with content in sports,documentaries & investigative features.Has regional reach on Dstv- 274,GoTv-94,Zuku-14"
journalist,11:06 PM - 23 Feb 2014,Saints2160,http://www.miltondaniels.blogspot.com,562,830,Silverbird Communications Jos,,"Film maker, editor, cinematographer, script writer, Film and Documentary Director."
news,11:17 AM - 2 Dec 2008,InsideNoVA,http://www.insidenova.com,106745,1290,Northern Virginia,"15.06569,120.64576","THE news source for Northern Virginia. Get us in print, and online at http://InsideNoVA.com ."
news,10:13 AM - 21 Aug 2010,972mag,http://972mag.com/,58083,924,Israel and Palestine,"31.83112,34.97994",Independent news and commentary from Israel and Palestine
journalist,3:34 PM - 27 Jul 2011,MarionRenault,http://www.marionrenault.com/,777,746,"Columbus, OH","39.96226,-83.0006999",Sci & Env't reporter for @DispatchAlerts RTs ≠ endorsements. Former pixel pusher @chicagotribune @journalsentinel @startribune + ex-EIC @mndailynews
journalist,2:14 AM - 15 Feb 2013,PriyaSamCTV,,2963,1859,"Halifax, Nova Scotia","44.64842,-63.5749699","Co-host on @CTVMorningAtl and Noon News anchor at CTV Two Atlantic. Lifeline producer/reporter for @CTVAtlantic. Yogini, traveler, cheese lover in my free time."
wx,11:05 AM - 2 Mar 2010,bamwxcom,http://bamwx.com,14631,80,"Greenwood, IN","39.61365,-86.1066499",Rapidly growing #AGwx & #Energy weather consulting firm. Forecasts on http://bamwx.com . Weather Consulting & Ind Thor Guard rep. info@bamwx.com
journalist,12:17 PM - 28 Feb 2012,CBCAdrianH,http://cbc.ca/Ottawa,6225,2865,Ottawa,"45.42103,-75.6900199","News Anchor, CBC Ottawa News @ 6. Host of Our Ottawa, weekly TV current affairs magazine."
disaster/accident,8:48 PM - 12 Dec 2016,2flamesburning1,http://www.yemenwar.info/,1732,1041,"Dinard, France","48.62514,-2.0584199",humanitarian Spreading awareness to Stop wars. Please take time to check @monareliefye charity for Yemen. War must be stopped and peace restored...
journalist,3:47 AM - 8 Jul 2009,FermanaghJulian,http://www.facebook.com/pages/Julian-Fowler-Fermanagh-Reporter/209140745795587,6655,2633,Fermanagh,"54.36187,-7.6567049","BBC Reporter in Fermanagh and Tyrone and Tall Ships Adventurer. Views on Ulster Rugby, England cricket or anything else my own."
fire/emt,12:42 PM - 10 Nov 2014,MoPublicSafety,http://dps.mo.gov,2713,756,Missouri,"38.76048,-92.5617799",The Missouri Department of Public Safety's mission is to help ensure the safety & security of Missouri citizens. Not monitored 24/7. For emergencies call 911
wx,10:37 AM - 7 Jan 2009,9NEWSWeather,http://9news.com/weather,53700,4952,Denver,"39.73915,-104.9846999",This is the official Twitter account for the 9NEWS Weather Team - Colorado's Weather Leader!
fire/emt,12:33 PM - 25 Jun 2015,WichitaFireDept,http://wichita.gov,2469,96,"Wichita, KS","37.69223,-97.3375399","The WFD is the largest fire department in the state of Kansas with over 440 sworn and civilian employees serving a community of nearly 400,000 people"
news,6:17 PM - 10 Jul 2014,confcalltran,,708,27,,,"Public company news, filings, transcripts"
fire/emt,1:06 AM - 1 Sep 2010,barrowpolice,http://www.cumbria.police.uk/,13787,986,Barrow in Furness - Cumbria,"54.11133,-3.2289399","Barrow Police - policing in Barrow, Dalton, Ulverston & Furness. To report a crime please call 101 and in an emergency call 999."
news,3:54 PM - 21 May 2010,FAOclimate,http://www.fao.org/climate-change,84563,2010,"Rome, Italy","41.8935,12.48255",News and events on food security and climate change from the Food and Agriculture Organization of the United Nations (FAO)
wx,8:24 AM - 4 Jun 2015,NWSNHC,http://www.hurricanes.gov,53794,61,"Miami, FL","25.77426,-80.1936499",Official Twitter account for the National Weather Service's National Hurricane Center. Details: http://weather.gov/twitter
journalist,10:22 AM - 10 Mar 2009,lopp,http://lopp.net,9429,219,"Durham, NC","35.99403,-78.8986099",@BitGo engineer . creator of https://statoshi.info  . CoinDesk contributor http://www.coindesk.com/author/jameson-lopp/ … . find me at https://onename.com/lopp
news,4:32 AM - 2 Sep 2011,LichMercury,http://www.lichfieldmercury.co.uk,5520,318,Lichfield,"52.68436,-1.8275199",The official Lichfield Mercury Twitter account. Bringing you the news since 1815.
news,11:02 AM - 25 Aug 2015,WinchesterSunKy,http://winchestersun.com,214,95,"Winchester, KY","37.99007,-84.1796499","Daily news source for Winchester and Clark County, Kentucky, for more than 130 years."
govt,8:08 AM - 19 Sep 2014,ErieCountyDPW,http://www2.erie.gov/dpw/,2399,57,"Erie County, NY","42.71642,-78.7620299","Welcome to the Erie County Department of Public Works official Twitter site for updates from the Divisions of Highways, Buildings & Grounds and Fleet Services."
journalist,9:56 AM - 9 Feb 2013,mraimondiKBJR6,http://www.kbjr6.com,392,346,"Duluth, MN","46.77293,-92.1251199","@KBJR6News morning anchor/producer Proud @LyndonVSC Alum | Methuen, MA Native | Tweets are my own"
news,8:17 PM - 22 Nov 2010,TomsRiverPatch,http://tomsriver.patch.com,5789,1021,"Toms River, NJ","39.95373,-74.1979499","Toms River news, features, events, business listings and community discussion -- Your site for all things Toms River."
wx,4:07 PM - 1 Jun 2012,NWSSacramento,http://weather.gov/Sacramento,26558,383,"Sacramento, CA","38.58157,-121.4943899",Official Twitter account for the National Weather Service Sacramento. Details: http://weather.gov/twitter
fire/emt,11:37 PM - 1 Aug 2016,EJTrainer,https://cranstonscanner.smugmug.com/,659,1171,"Cranston, RI","41.78095,-71.4371199","Strong Supporter & Advocate for all First Responders - Photog of Fire Scenes & Nature - CCRI '17, A.S. in Law Enforcement & Certificate in Homeland Security"
