journalist,7:33 PM - 20 Feb 2011,nadiasdaly,https://www.facebook.com/NadiaDalyJournalist,2732,1229,"Darwin, Australia","-12.4604399,130.84104",Journalist with @abcnews. Via @CNN in HK + @Euronews in France. Anchor and reporter http://www.abc.net.au/news/6564026  Got a story? Nadia.Daly@abc.net.au
journalist,4:32 AM - 29 Aug 2011,deneeshapillay,,1535,601,South Africa,"-28.8166199,24.99163","Catholic. Colindian Princess . Womanly woman. Multimedia Reporter at Times Media. Journalism about the people, for the people."
journalist,8:41 AM - 3 Mar 2009,stevefx,,439,215,Long Beach,"33.77746,-118.1884799","Retired cop, writer/producer wannabee golfer. Interested in an exit strategy for the 40 year War on Drugs."
journalist,10:01 AM - 7 Apr 2010,TROKKIE101,,101,591,,,Forensic Investigator|Sport fanatic|Lions supporter|The views expressed here are my own and not that of my employer
journalist,11:13 AM - 10 Apr 2013,DNeklesa,http://www.lep.co.uk,2572,3568,"Preston, England","53.75899,-2.7051599",Digital Reporter @leponline Contact me here - daria.neklesa@jpress.co.uk - #history #lancashire #preston #chorley #leyland #RibbleValley views mine
journalist,9:28 AM - 2 Jun 2008,Worthing_Herald,http://www.worthingherald.co.uk,11317,888,"Worthing, West Sussex, UK","50.81169,-0.3703899","News, views, sport and entertainment from the Worthing area. Call 01903 230051 | Email: letters@worthingherald.co.uk | http://www.facebook.com/Worthing.news"
police/traffic,4:20 AM - 16 Nov 2010,trafficbutter,http://www.trafficbutter.com.ng,262205,11654,"Lagos, Nigeria","6.45505,3.39417",The TrafficButter Community provides members with Traffic updates & answers to general inquiries to save them time when they are commuting & seeking answers.
journalist,4:39 PM - 3 Mar 2009,JonUPS_,,2113,3743,"Westchester County, NY","41.17631,-73.7907499","“I don’t mind being called a propagandist, so long as that propaganda is based on the truth.” - Edward R. Murrow, speaking to a reporter for the Miami Herald."
journalist,11:52 PM - 14 Jun 2010,whiskeycully,,2742,468,"Hamilton City, New Zealand","-37.7733449,175.275027766621",Sunday Star Times/Sunday News sports editor and UnAustralian contributor to The Sydney Morning Herald/RugbyHeaven.
journalist,3:17 AM - 28 Feb 2009,sufisal,http://ssgwi.org,161297,255,Land of the Sufis,,"polio goodwill ambassador ,poet,professor, peace activist,artist,author,actor & axe-man , https://itunes.apple.com/us/album/door/id1184557085 …"
journalist,3:42 PM - 2 Dec 2008,adidoit,,147,989,"Atlanta, GA","33.74909,-84.3901799","Management Consultant. Fascinated with Analytics, Design and Strategy. MBA @michiganross Engineer @LifeAtPurdue, @GeorgiaTech. Views are my own."
