journalist,6:42 AM - 11 Jun 2009,darLasauLer,http://www.darlasauler.com,759561,333,"UT: 14.639437,121.036369",,"TV Writer. Social Media Influencer. But my views and opinions DO NOT reflect the views and opinions of ABS-CBN and its management, programs and artists."
news,4:57 PM - 29 Sep 2012,Doughravme,,11189,9962,east coast of fl.,,"Fighting against the tyranny & oppression of corporate fascism, with support for democratic socialism & alternative, non-corporate sponsored, truthful media!"
news,2:36 PM - 19 Jun 2014,polNewsForever,,29662,58,,,Politically Incorrect - And Always Right | The Ride Never Ends | Part of the /pol/ News Network
journalist,11:11 PM - 26 Jun 2013,relisberg,http://www.elisbergindustries.com,3284,4310,,,Columnist on Huffington Post and Writers Guild Online. Screenwriter. Novelist. Political commentator. Tech writer. And something else I keep forgetting.
news,9:17 PM - 8 Feb 2009,westsider2,http://westsider29.weebly.com/index.html,1073,1741,Seattle,"47.60383,-122.3300599","like watching sports,listening to music,news updates,watching tv and movies,going to local events. like collectibles."
news,6:57 PM - 11 Sep 2008,paenvirodigest,http://www.PaEnvironmentDigest.com,964,94,"Harrisburg, Pa","40.26631,-76.8861099",This is the instant news feature of http://www.PaEnvironmentDigest.com
journalist,6:51 PM - 19 May 2011,Local12Sydney,http://local12.com,2244,703,"Cincinnati, Ohio","39.10145,-84.5124599","Anchor | reporter for @Local12 News. Animal lover, grilled cheese enthusiast, accident-prone, pop culture and news junkie. Proud @UofCincy alum."
journalist,11:02 AM - 4 Jan 2013,CZH2030,http://backstage.com/carlyZ,1115,3239,NYC area & Miami area,"40.76423,-74.0009571687047","Director & Producer, ZMX Inc. ~ Theater, Film & Creative Media. * Interests: Arts: Theater, Film, Lit & Langs, Music, #SGI; #pets ... + I act/sing/write... ☆"
journalist,8:02 PM - 1 Jun 2010,chrisursk,http://11alive.com,508,383,ATL by way of MIA/FTL,,Producer @11Alive. Alum @UFJSchool. Writer. Coffee dependent. Pro multitasker. Lifelong learner. Stubborn runner. Email me! csursky@11alive.com
fire/emt,3:02 AM - 20 Mar 2014,mcfrsPIO,http://www.mcfrs.org,11571,73,"Montgomery County, Maryland","39.14062,-77.2075599",Chief Spokesperson for Montgomery County (MD) Fire & Rescue Service - an Internationally Accredited Combination Career & Volunteer Public Safety Organization
journalist,6:42 PM - 28 Dec 2008,PennyDaflos,http://Instagram.com/pennydaflos,3905,690,Vancouver,"49.26089,-123.1139299",@CTVVancouver journalist on terra firma and #Chopper9. Reporting style: confrontation with a smile. Lover of sci-fi and hater of puns.
journalist,5:20 AM - 18 Apr 2011,gemvarone,,242,502,"Perth, Western Australia","-31.9527099,115.86047",Newsreader for @KateTimMarty on @Nova937 // chatterbox // travel junkie // all views are my own
journalist,10:55 AM - 25 Mar 2010,LokeshSpeaks,,134,98,,,Incorrigible optimist; dreamer; insatiable thirst for knowledge; People person; Photographer; views are personal
journalist,3:02 PM - 13 Aug 2008,HealthRanger,http://www.NaturalNews.com,113532,45,"Tucson, AZ","32.22174,-110.9264699",Consumer health advocate and editor of http://www.NaturalNews.com . Get a free eBook (25 Facts About Food) at http://www.naturalnews.com/25-Facts-About-Food.html …
wx,12:09 PM - 7 Apr 2012,JamesSinko,http://weloveweather.tv,1794,1883,"Atlanta, GA","33.74909,-84.3901799",Meteorologist @ The Weather Channel | B.S. Atmospheric Sciences | @LyndonVSC Alum | Mainer | AMS '08-Now | Storm Chaser | Opinions R my OWN | RT/Fav≠Endorsement
fire/emt,2:41 PM - 29 Aug 2013,CALFIRE_ButteCo,http://buttecounty.net/fire,7207,185,Butte County,"39.65192,-121.5858399",This is the official Twitter account for the Butte County Fire Department / CAL FIRE. To report a fire call 911.
news,5:37 AM - 11 May 2013,ThunderBayLive,http://www.thunderbaylive.com,630,212,Thunder Bay,"48.40616,-89.2591399","Thunder Bay's one #1 stop for News,Local Entertainment, Live videos and Funnies"
news,10:41 AM - 25 Sep 2009,Cafe4apps,http://Cafe4apps.net,3651,1968,Offthemap,,Get all your latest tech news and your Apple and Android devices better. Pdf and Epub files
police/traffic,4:33 PM - 31 Dec 2012,tonybmorton,,2154,303,"Melbourne, Australia","-37.8142099,144.96316","Sustainable energy and transport advocate based in Melbourne. Current President, Public Transport Users Association."
disaster/accident,12:54 PM - 9 Apr 2017,SOS911Venezuela,,1363,4989,United States,"39.78373,-100.4458799",Latest VE news in English. Venezuelans fighting for their lives to stop brutal Maduro Communist Dictatorship from total tyranny. Please HELP VE follow/retweet.
news,5:14 PM - 29 May 2008,NigeriaNewsNG,,1441,300,U.S.A,"31.19327,30.05401",Get the latest Nigeria breaking news from all around the world deliver to you as it breaks from top Newspapers and media houses.
news,6:18 AM - 28 Nov 2009,greenleftweekly,http://www.greenleft.org.au,5434,702,,,"Grassroots media reporting on environment, social justice, peace and workers' rights. 'The only way to overcome poverty is to give power to the poor.'"
journalist,2:16 PM - 4 Jun 2013,FOX2Erika,http://fox2detroit.com,8523,998,,,Reporter | Fox 2 | Detroit Erika.Erickson@Foxtv.com
journalist,12:38 AM - 6 Jun 2010,ranganashamil,https://twitter.com/ranganashamil,292,215,"Colombo, Sri Lanka","6.93499,79.85384","A Journo.... Have an Interest in Politics, Music, Travel.. Tweets are my own opinions..."
journalist,12:52 PM - 9 Mar 2009,trintran,,43476,693,Seattle,"47.60383,-122.3300599","I work at Nintendo, but often tweet about other things. My views are mine and mine alone, unless they are also yours."
news,9:25 AM - 29 Oct 2016,VenezuelaNewsGo,https://itunes.apple.com/us/app/venezuela-news-today-caracas/id1170332287?ls=1&mt=8,34,13,,,Latest breaking #Venezuela English news #iOS App https://itunes.apple.com/us/app/venezuela-news-today-caracas/id1170332287?ls=1&mt=8 … #Caracas
journalist,6:52 PM - 5 Nov 2014,a_maia_sawyer,http://www.tennessean.com/staff/10050130/ariana-sawyer/,710,539,"Nashville, TN","36.16222,-86.7743499","Night #Breaking News Reporter @Tennessean, @USATODAY, also covering immigration. Future foreign correspondent - rt's not endorsements, opinions my own."
fire/emt,6:22 PM - 14 Oct 2013,BothellPolice,http://www.bothellwa.gov/266/Police-Department,5128,509,"Bothell, Washington","47.75985,-122.2068199","Call 911 to report emergencies, for non-emergencies 425.486.1254. Site not monitored 24/7. Comments, list of followers subject to public disclosure (RCW 42.56)"
journalist,8:57 AM - 15 Jul 2008,AriMelber,http://www.facebook.com/AriMelber,183540,5545,ari@msnbc.com,,MSNBC Chief Legal Correspondent | Lawyer | Writer | Emmy-winning reporter | Host of #ThePoint Sundays 5 - 7pm ET on MSNBC
journalist,8:22 PM - 28 Apr 2009,RudyKCTV5,http://www.kctv5.com,1512,1383,"Kansas City, MO","39.08446,-94.5630199",@kctv5 Reporter -Son - Brother -Christian - Friend - Storyteller - TBD - Opinions are my own. RTs are not endorsements. Email: Rudy.Harper@kctv5.com
disaster/accident,4:19 AM - 1 Jul 2011,knowthelawyer,http://www.FloridaJustice.com,605,1635,"Jacksonville, Florida","30.33218,-81.6556499","Jacksonville Personal Injury, Wrongful Death, Criminal Defense & Family Law Firm where clients lawyers care. Official account is @JohnPhillips. 904-444-4444"
